Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1925|6000476|160|ED|0436260NC41J1|1||2026-04-24 17:09:04|
1925|6700252|160|ED|04412602T2Y15|1||2026-04-28 18:17:02|
1614|6002232|160|ED|01922618GM3D7|1||2026-04-20 16:43:01|
3471|6401055|160|ED|0436260OA2LT3|1||2026-04-29 13:11:05|
3471|6401053|160|ED|0438261EMNC61|1||2026-04-29 12:32:05|
1647|6009428|240|ED|0438261EGRXG3|1||2026-04-20 18:29:04|
1925|6700260|160|ED|0428260HFW8L5|1||2026-04-29 13:55:04|
1614|6002317|160|IM|482023|1||2026-04-20 15:18:03|
3471|6400968|160|ED|0438261ECYOO7|1||2026-04-17 19:49:02|
3471|6401104|160|ED|01762600A5EV8|1||2026-04-29 19:45:02|
1925|6700204|160|IM|482023|1||2026-04-24 10:16:02|
1925|6700258|160|IM|482023|1||2026-04-29 13:55:03|
3471|6401055|160|ED|0436260OA2P23|1||2026-04-29 13:11:05|
3471|6400948|160|ED|01762600A49L7|1||2026-04-17 17:35:02|
3471|6401101|160|ED|0170261AQDDI5|1||2026-04-29 18:53:02|
3471|6401053|160|ED|0436260OA1GH8|1||2026-04-29 12:32:05|
1647|6008843|240|ED|0428260HEHEC6|1||2026-04-24 20:02:07|
3471|6401058|160|ED|0438261EME1I4|1||2026-04-29 12:33:02|
1614|6002168|160|ED|0438261EF9OI1|1||2026-04-20 16:19:01|
1614|6002166|160|ED|MNVA26006I1U1|1||2026-04-20 16:19:03|
3471|6401011|160|ED|0436260O8BAF8|1||2026-04-23 10:26:05|
1925|6700204|160|ED|0428260HFWR11|1||2026-04-24 10:16:02|
1925|6000478|160|ED|0436260NC4384|1||2026-04-24 17:09:03|
3471|6400965|160|IM|482023|1||2026-04-17 20:23:00|
1614|6002241|160|IM|482023|1||2026-04-21 10:02:03|
1925|6700259|160|CR|241|1||2026-04-29 12:49:03|
1614|6002332|160|SO|AA|1||2026-04-27 08:43:05|
1925|6700244|160|ED|0428260HHNNE5|1||2026-04-28 20:00:01|
3471|6401055|160|ED|MNVA26007I184|1||2026-04-29 13:11:05|
1925|6700215|160|ED|MNVA26006YLI1|1||2026-04-23 14:49:02|
1647|6008844|240|RC|81-84|1||2026-04-24 20:02:08|
1647|6008843|240|ED|0428260HEA7R6|1||2026-04-24 20:02:07|
1647|6008843|240|ED|0428260HEH6I8|1||2026-04-24 20:02:07|
3471|6400972|160|ED|0170261AFL3B4|1||2026-04-17 19:50:02|
1614|6002245|160|ED|0170261AA9JA8|1||2026-04-21 10:02:04|
3471|6401055|160|ED|0436260OA23F8|1||2026-04-29 13:11:05|
1925|6700246|160|ED|0428260HHNMN4|1||2026-04-28 20:00:02|
3471|6400946|160|ED|0170261A9JQJ5|1||2026-04-17 14:11:01|
1925|6700253|160|ED|01922618PXPM4|1||2026-04-29 12:49:02|
1925|6000480|160|PP|20239540|1||2026-04-24 17:08:02|
3043|6700018|523|PC||1||2026-04-28 20:01:00|
3153|6000393|800|ED|01922618L1Q81|1||2026-04-23 13:55:01|
3577|6300814|521|ED|MNVA26007CCC1|1||2026-04-27 16:28:01|
1925|6700262|160|ED|0438261EMUZL8|1||2026-04-29 14:06:02|
3471|6401055|160|ED|0436260OA2T74|1||2026-04-29 13:11:05|
1614|6002109|160|ED|0438261E81IV1|1||2026-04-16 17:35:03|
1647|6008844|240|ED|0428260HEL5H8|1||2026-04-24 20:02:08|
1647|6008843|240|PC||1||2026-04-24 20:02:07|
1647|6008843|240|ED|0428260HEH1C3|1||2026-04-24 20:02:07|
3471|6400950|160|ED|MNVA26006B534|1||2026-04-17 17:06:02|
3471|6400783|160|PP|20239540|1||2026-04-01 11:53:02|
1614|6002172|160|ED|0436260O0N8U6|1||2026-04-20 16:19:03|
3471|6401080|160|ED|0436260OAEMX7|1||2026-04-29 11:55:03|
1925|6700256|160|ED|MNVA26007JZM7|1||2026-04-29 13:55:03|
3694|6100324|800|IM|482023|1||2026-04-27 14:45:01|
1614|6003569|160|ED|0438261EF9I78|2||2026-04-23 10:28:03|
3471|6400965|160|ED|0436260O6NTF5|1||2026-04-17 20:23:00|
1925|6700204|160|ED|0428260HFWRN8|1||2026-04-24 10:16:02|
1614|6002311|160|IM|482023|1||2026-04-20 15:17:02|
1925|6700246|160|ED|0170261AVTKN5|1||2026-04-28 20:00:02|
3471|6401082|160|ED|0436260OAGGW8|1||2026-04-29 18:13:05|
3471|6400777|160|ED|MNVA26004VGJ6|1||2026-04-01 11:51:03|
3471|6400950|160|ED|0436260O3IDD5|1||2026-04-17 17:06:02|
1614|6003555|160|ED|MNVA26006GA38|2||2026-04-23 09:17:02|
1647|6008843|240|ED|0428260HEHJ77|1||2026-04-24 20:02:07|
3043|6001043|523|ED|0170261AVYVN7|1||2026-04-29 12:36:01|
1614|6002009|160|ED|0170261A95ZA8|1||2026-04-08 08:43:01|
1614|6002166|160|IM|482023|1||2026-04-20 16:19:03|
1925|6700247|160|CR|39|1||2026-04-28 16:25:06|
1614|6002337|160|IM|482023|1||2026-04-27 09:15:03|
1925|6700257|160|CR|241|1||2026-04-29 12:49:01|
1925|6100307|160|ED|0436250N783I6|1||2026-04-17 13:29:09|
3043|6001115|523|ED|0170261AYS1N1|1||2026-04-30 11:13:02|
1925|6700256|160|ED|01922618PYM86|1||2026-04-29 13:55:03|
1614|6002337|160|PP|20239540|1||2026-04-27 09:15:03|
3043|6700015|523|ED|0170261AD89Q4|1||2026-04-18 12:09:02|
1925|6700260|160|IM|482023|1||2026-04-29 13:55:04|
3471|6401014|160|ED|0438261EI18J4|1||2026-04-22 19:32:05|
1925|6700204|160|ED|0428260HFWRK5|1||2026-04-24 10:16:02|
3471|6401100|160|ED|0436260O9VFG8|1||2026-04-29 18:53:02|
3471|6401012|160|ED|MNVA26006W438|1||2026-04-22 19:32:04|
3471|6401096|160|ED|01762600A51U7|1||2026-04-29 18:13:02|
1925|6700215|160|ED|0428260HGGKX5|1||2026-04-23 14:49:02|
3043|6001114|523|CR|45|1||2026-04-30 11:14:01|
1925|6700260|160|ED|0428260HFW942|1||2026-04-29 13:55:04|
1614|6002171|160|ED|0438261EF9OI1|1||2026-04-20 14:21:06|
1614|6003561|160|PP|20239540|2||2026-04-23 09:17:04|
3471|6401085|160|ED|0438261EMII06|1||2026-04-29 11:42:03|
1614|6002241|160|ED|0170261AA98P8|1||2026-04-21 10:02:03|
3471|6401098|160|ED|0436260OA58Z2|1||2026-04-29 18:53:01|
1614|6002171|160|ED|MNVA26006I1J2|1||2026-04-20 14:21:06|
3471|6401088|160|ED|0436260O9VM58|1||2026-04-29 10:20:05|
1925|6700261|160|ED|0438261EMUZL8|1||2026-04-29 12:54:01|
1614|6002198|160|ED|0438261EBEK55|1||2026-04-16 19:41:01|
3471|6400950|160|ED|0436260O3I2C2|1||2026-04-17 17:06:02|
3496|6000370|850|CR|301|1||2026-04-17 16:43:08|
3471|6401098|160|PP|20239540|1||2026-04-29 18:53:01|
1925|6700213|160|ED|0428260HGTG21|1||2026-04-23 14:19:01|
1614|6002198|160|ED|0436260O2BFN8|1||2026-04-16 19:41:01|
1614|6002311|160|ED|MNVA26006G201|1||2026-04-20 15:17:02|
3577|6300693|521|PP|20239540|1||2026-04-29 14:01:01|
1614|6002310|160|ED|0438261EDHXI2|1||2026-04-20 14:09:02|
3471|6401096|160|ED|0436260OA1IF3|1||2026-04-29 18:13:02|
3471|6401087|160|ED|0170261AP6216|1||2026-04-29 11:42:04|
1925|6700262|160|ED|0428260HFWR72|1||2026-04-29 14:06:02|
1925|6700257|160|ED|0170261AVY4T6|1||2026-04-29 12:49:01|
3043|6700019|523|ST|22|1||2026-04-29 13:16:01|
1647|6009419|240|IM|482023|1||2026-04-20 17:41:12|
1614|6002363|160|ED|0170261ALHAH6|1||2026-04-27 07:56:01|
1614|6002174|160|ED|0436260O0N563|1||2026-04-20 16:19:02|
