Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1614|6003571|160|||EVER LISSOME|GBR|073E|2026-04-23 09:09:05|
1614|6002170|160|||EVER FASHION 026E|GBR|026E|2026-04-20 16:19:01|
3043|6700019|523|||KANSAS CITY SOUTHERN|USA|1|2026-04-29 13:16:01|
1614|6002196|160|||EVER FASHION|LBR|026E|2026-04-16 19:41:01|
1925|6000416|160|||EVER FAME|PAN|EVERFAME|2026-04-15 13:55:03|
3471|6401098|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 18:53:01|
3471|6400970|160|||COSCO SHIPPING LINES MEXICO S DE RL DE CV|CHN|CSCLASIA|2026-04-17 19:49:02|
1925|6700209|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 16:44:02|
3471|6400995|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:03|
3471|6400755|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:19:01|
1614|6002324|160|||WAN HAI A02|SGP|E016|2026-04-23 16:49:04|
3471|6400763|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:54:01|
3153|6005834|240|||TRANSFER|USA|5334750|2026-04-10 13:49:04|
1614|6002015|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 09:17:03|
1614|6002048|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:55:05|
3471|6400948|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 17:35:02|
1614|6002216|160|||EVER FASHION|LBR|0775-026E|2026-04-16 14:24:01|
3471|6401087|160|||YANG MING|TWN|EVERLOYAL|2026-04-29 11:42:04|
1614|6003557|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 09:17:03|
3471|6400895|160|||PACIFIC INTERNATIONAL LINES|PAN|EVERFAME|2026-04-14 23:52:02|
3471|6401018|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:32:04|
3471|6400765|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-02 13:42:02|
1925|6700246|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 20:00:02|
1925|6100277|160|||EVER FAME|PAN|EVERFAME|2026-04-16 18:17:02|
1614|6003560|160|||EVER LISSOME|GBR|0776-073E|2026-04-22 20:46:01|
3471|6400754|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:19:01|
3471|6401055|160|||EVERGREEN LINE|TWN|EVERLOYAL|2026-04-29 13:11:05|
3153|6005835|240|||TRANSFER|USA|AK5520|2026-04-10 13:51:05|
3471|6400951|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 13:24:09|
1614|6003556|160|||EVER LISSOME|GBR|0776-073E|2026-04-23 08:47:04|
1614|6002340|160|||COSCO PACIFIC|CHN|098E|2026-04-27 08:43:06|
3153|6005771|240|||TRANSFER|USA|238421E|2026-04-04 09:42:01|
3471|6400805|160|||EVERGREEN LINE|GBR|EVERLIBERAL|2026-04-02 01:06:01|
3471|6400841|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 18:25:04|
1614|6001822|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:20:09|
1614|6002212|160|||EVER FASHION|LBR|0775-026E|2026-04-16 14:23:02|
3471|6400811|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 11:51:04|
3471|6400849|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 23:18:01|
3471|6400879|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES S.DE.R.L. DE C.V|SGP|ZIMMOUNTBLANC|2026-04-08 09:56:06|
1614|6001956|160|||XIN HONG KONG|HKG|081E|2026-04-06 10:11:02|
1614|6002108|160|||EVER FRAME|PAN|0672-028E|2026-04-15 11:37:05|
3471|6400887|160|||MAERSK LINE|SGP|MAERSKEMERALD|2026-04-15 21:19:01|
3471|6400942|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 13:44:03|
3043|6700022|520|||FERROMEX|USA|1|2026-04-30 16:23:01|
3043|6001115|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU197998|2026-04-30 11:13:02|
1925|6100252|160|||TIANJIN|LBR|TIANJIN|2026-04-08 17:26:01|
1759|6000776|160|||PACIFIC INTERNATIONAL LINES (PTE) LTD|LBR|KOTASANTOS|2026-04-10 16:39:02|
1925|6700200|160|||ZIM MOUNT DENALI|SGP|ZIMMOUNTDENALI|2026-04-23 20:27:03|
1614|6002332|160|||COSCO PACIFIC|CHN|098E|2026-04-27 08:43:05|
