Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3471|6401084|160|98020019|159|3|22|188|2026-04-29 11:55:04|
1614|6002339|160|87089999|10|3|22|108|2026-04-27 09:16:02|
3471|6400750|160|87082999|50|3|0|304|2026-04-01 18:25:04|
1925|6700254|160|98020019|107|3|22|11|2026-04-29 17:20:04|
3471|6401084|160|87089412|17|3|22|880|2026-04-29 11:55:04|
1925|6700213|160|87082999|481|3|22|294|2026-04-23 14:19:01|
1614|6002323|160|98020019|73|3|22|112|2026-04-23 17:51:05|
1925|6700250|160|98020019|67|3|22|6|2026-04-28 20:01:01|
1614|6002305|160|98020019|106|3|22|437|2026-04-20 16:05:03|
1614|6002170|160|87082101|50|3|22|4148|2026-04-20 16:19:01|
3471|6401051|160|87088005|45|3|22|729|2026-04-29 12:32:03|
1925|6700206|160|83023091|48|3|22|280|2026-04-23 20:27:03|
1614|6002309|160|87082999|27|3|22|354|2026-04-20 15:17:01|
3471|6401090|160|87082999|57|3|22|101|2026-04-29 10:20:05|
1925|6700260|160|87089999|1|3|22|717|2026-04-29 13:55:04|
1614|6001960|160|87082999|31|3|0|175|2026-04-01 10:31:03|
3471|6401100|160|84833004|102|3|22|121|2026-04-29 18:53:02|
1614|6002345|160|87082999|30|3|22|1139|2026-04-27 09:17:01|
1925|6100248|160|98020019|304|3|0|5|2026-04-08 14:04:09|
1925|6700256|160|87082999|6|3|22|1394|2026-04-29 13:55:03|
3471|6401084|160|98020019|157|3|22|47|2026-04-29 11:55:04|
1925|6700213|160|87082999|171|3|22|249|2026-04-23 14:19:01|
1614|6002322|160|73269099|3|6|0|9637|2026-04-23 16:49:03|
3471|6401053|160|98020019|64|3|22|857|2026-04-29 12:32:05|
3471|6400988|160|87082999|152|3|22|774|2026-04-22 21:37:02|
3471|6400988|160|98020019|48|3|22|2047|2026-04-22 21:37:02|
3471|6401053|160|87088007|28|3|22|2169|2026-04-29 12:32:05|
1614|6003574|160|73269099|5|3|0|1518|2026-04-23 08:47:03|
1925|6700214|160|73269099|7|6|0|652|2026-04-23 15:01:03|
3471|6401084|160|98020019|181|3|22|275|2026-04-29 11:55:04|
1925|6700254|160|85365099|47|3|22|526|2026-04-29 17:20:04|
1614|6002012|160|39263002|176|3|0|102|2026-04-08 09:16:04|
1614|6002345|160|87082999|23|3|22|2612|2026-04-27 09:17:01|
1925|6700260|160|87089999|14|3|22|787|2026-04-29 13:55:04|
3471|6400750|160|87082999|30|3|0|336|2026-04-01 18:25:04|
3471|6401058|160|73269099|9|3|0|106|2026-04-29 12:33:02|
3471|6401082|160|87082999|29|3|22|1366|2026-04-29 18:13:05|
1614|6002309|160|87082999|67|3|22|4095|2026-04-20 15:17:01|
1614|6003569|160|87082999|16|3|22|1797|2026-04-23 10:28:03|
1925|6700257|160|73269099|1|3|0|420|2026-04-29 12:49:01|
1614|6002168|160|87082999|83|3|22|6565|2026-04-20 16:19:01|
1614|6002303|160|84836099|5|3|22|3031|2026-04-20 16:04:02|
1925|6700294|160|87082999|22|3|22|4992|2026-04-29 10:50:04|
1614|6003567|160|39269029|158|3|22|66|2026-04-23 11:04:03|
1614|6003583|160|98020019|49|3|22|404|2026-04-23 09:09:03|
3471|6401086|160|87082902|12|3|22|1981|2026-04-29 11:42:03|
1925|6700252|160|98020019|118|3|22|91|2026-04-28 18:17:02|
1614|6002012|160|87082999|116|3|0|447|2026-04-08 09:16:04|
1925|6700250|160|84073304|1|3|22|170262|2026-04-28 20:01:01|
1925|6700250|160|40169901|61|3|22|24|2026-04-28 20:01:01|
1925|6100252|160|87082101|98|3|0|3367|2026-04-08 17:26:01|
1925|6700244|160|40091102|7|3|22|556|2026-04-28 20:00:01|
1925|6700252|160|87082999|10|3|22|127|2026-04-28 18:17:02|
1614|6002297|160|98020019|211|3|22|36|2026-04-20 16:04:02|
1614|6003567|160|98020019|194|3|22|27|2026-04-23 11:04:03|
1925|6700252|160|87089999|70|3|22|1095|2026-04-28 18:17:02|
1614|6002303|160|87088007|17|3|22|5745|2026-04-20 16:04:02|
1614|6002303|160|98020019|69|3|22|67|2026-04-20 16:04:02|
1614|6002339|160|98020019|141|3|22|77|2026-04-27 09:16:02|
1614|6002305|160|87088005|48|3|22|542|2026-04-20 16:05:03|
1614|6002297|160|98020019|231|3|22|18|2026-04-20 16:04:02|
1925|6700242|160|98020019|129|3|22|336|2026-04-28 18:17:04|
3471|6401057|160|98020019|217|3|22|1280|2026-04-29 13:11:05|
1614|6001960|160|87082999|33|3|0|4219|2026-04-01 10:31:03|
1925|6700262|160|87082999|62|3|22|148|2026-04-29 14:06:02|
1925|6700260|160|40093106|46|3|22|123|2026-04-29 13:55:04|
1614|6002012|160|73181606|141|6|0|706|2026-04-08 09:16:04|
1925|6700252|160|87082999|74|3|22|2620|2026-04-28 18:17:02|
3043|6001073|523|56090002|1|3|0|7255|2026-04-28 16:28:01|
1614|6002232|160|73269099|7|3|0|297|2026-04-20 16:43:01|
1614|6002329|160|49089099|185|6|0|132|2026-04-23 18:49:03|
1925|6700256|160|98020019|69|3|22|56|2026-04-29 13:55:03|
1614|6002171|160|63079099|1|6|0|648|2026-04-20 14:21:06|
1614|6003585|160|87082999|15|3|22|447|2026-04-23 09:09:04|
1925|6700244|160|87082999|143|3|22|154|2026-04-28 20:00:01|
1614|6002329|160|39269099|189|6|0|73|2026-04-23 18:49:03|
1614|6003577|160|87089999|10|3|22|2670|2026-04-23 09:10:06|
3471|6401086|160|87082999|8|3|22|777|2026-04-29 11:42:03|
1925|6700294|160|87082999|29|3|22|4722|2026-04-29 10:50:04|
3471|6400808|160|87082999|27|3|0|205|2026-04-02 00:48:03|
1925|6700260|160|98020019|90|3|22|190|2026-04-29 13:55:04|
3471|6401098|160|98020019|105|3|22|121|2026-04-29 18:53:01|
1614|6001959|160|73269099|1|6|0|1346|2026-04-01 10:31:02|
3471|6401052|160|73269099|5|3|0|169|2026-04-29 12:32:03|
1925|6700252|160|85365099|50|3|22|1889|2026-04-28 18:17:02|
1614|6002167|160|56090002|4|6|0|4440|2026-04-20 14:21:05|
1614|6002303|160|98020019|58|3|22|84|2026-04-20 16:04:02|
1925|6700262|160|87082999|11|3|22|36|2026-04-29 14:06:02|
1614|6002297|160|87082999|138|3|22|752|2026-04-20 16:04:02|
1614|6002303|160|98020019|89|3|22|156|2026-04-20 16:04:02|
3471|6401098|160|87089999|9|3|22|175|2026-04-29 18:53:01|
1614|6003567|160|87089999|2|3|22|405|2026-04-23 11:04:03|
1614|6002307|160|87082999|20|3|22|624|2026-04-20 16:05:04|
3471|6401086|160|87082999|20|3|22|312|2026-04-29 11:42:03|
3471|6401100|160|87082999|89|3|22|9678|2026-04-29 18:53:02|
1614|6001962|160|87089203|3|3|0|8533|2026-04-06 10:12:02|
1925|6700262|160|84213199|102|3|22|1298|2026-04-29 14:06:02|
3471|6401102|160|87089999|214|3|22|4468|2026-04-29 18:54:01|
1614|6002012|160|85444299|185|3|0|550|2026-04-08 09:16:04|
1614|6002339|160|98020019|149|3|22|52014|2026-04-27 09:16:02|
3471|6401084|160|87088005|41|3|22|292|2026-04-29 11:55:04|
1614|6002243|160|87088099|4|3|22|3551|2026-04-21 10:02:02|
1614|6003567|160|40169999|30|3|22|160|2026-04-23 11:04:03|
3471|6401100|160|98020019|146|3|22|1545|2026-04-29 18:53:02|
1614|6002297|160|98020019|268|3|22|312|2026-04-20 16:04:02|
