Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|6700255|160|2026-04-07|COVE2682KVUX7|CIF|USD|1533.79|1533.79|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 12:49:03|
1925|6700243|160|2026-03-31|COVE26828HPD3|CIF|USD|2378.16|2378.16|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 16:25:03|
1614|6002059|160||COVE2681LCBP7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-14 09:42:02|
1925|6700260|160|2026-04-07|COVE2682DC7L6|CIF|USD|89314.10|89314.10|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 13:55:04|
1614|6002336|160||COVE268277AU7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-25 13:02:01|
3471|6401021|160|2026-03-25|COVE2681Q9E58|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-23 11:58:04|
1925|6700259|160|2026-04-07|COVE268286S05|CIF|USD|381.34|381.34|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 12:49:03|
3471|6401060|160|2026-04-02|COVE26825RW08|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 17:30:04|
3577|6300773|521|2026-04-21|COVE2682IBUL7|DAP|USD|548.16|548.16|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2026-04-28 14:17:01|
1614|6002338|160||COVE2682779Z5|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 08:43:05|
1614|6002210|160||COVE2681SLZJ3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-16 14:23:01|
1925|6700252|160|2026-03-31|COVE2682E9UO2|CIF|USD|34953.26|34953.26|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 18:17:02|
1925|6700251|160|2026-03-31|COVE26828N222|CIF|USD|604.80|604.80|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 16:26:03|
1759|6000776|160|2026-03-02|COVE26801O5U2|CIF|USD|195.42|195.42|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2026-04-10 16:39:02|
3471|6401103|160|2026-03-29|COVE2682H5YG6|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-30 09:31:01|
3471|6401101|160|2026-03-29|COVE26825N884|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:53:02|
