Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1592|3002047|160|40169999|23|1|9AWA-080003|2023-03-06 17:03:02|
1592|3002047|160|48239099|24|1|TFQ004|2023-03-06 17:03:02|
1592|3002047|160|49011001|25|1|5SYV-380101-6301-13|2023-03-06 17:03:02|
1592|3002047|160|49019999|26|1|5SYV-150700-7101-1|2023-03-06 17:03:02|
1592|3002047|160|70091099|27|1|5HY0-260110-10000, 5HY0-260120-10000|2023-03-06 17:03:02|
1592|3002047|160|73181401|28|1|30110-421130010|2023-03-06 17:03:02|
1592|3002047|160|73181504|29|1|5HY0-261001, 30006-060010810|2023-03-06 17:03:02|
1592|3002047|160|73181599|30|1|30006-102035110, 30006-102080810|2023-03-06 17:03:02|
1592|3002047|160|73181599|31|1|6NQ#-000202-6001, 30006-060012810, 30102-080020810, 30006-060016810, 5HY#-040001-1000, 30006-060016870, 30006-080016810,|2023-03-06 17:03:02|
1592|3002047|160|73181599|31|2|30110-480160010, 8010-040038, 6NQ#-000203-6001, 30006-080020810, 30006-080014810, 8010-000004, 8010-000005, 30204-12291|2023-03-06 17:03:02|
1592|3002047|160|73181599|31|3|0, 30110-420160010, 5HY#-040002-1000, 6NQ#-000206-6001|2023-03-06 17:03:02|
1592|3002047|160|73181599|32|1|30102-080045810|2023-03-06 17:03:02|
1592|3002047|160|73181599|33|1|30006-102055110|2023-03-06 17:03:02|
1592|3002047|160|73181599|34|1|30006-102060110, 30001-102120110, 30006-102020810|2023-03-06 17:03:02|
1592|3002047|160|73181599|35|1|30105-020016700, 30006-102030810, 30006-102025810|2023-03-06 17:03:02|
1592|3002047|160|73181599|36|1|5HY0-220113|2023-03-06 17:03:02|
1592|3002047|160|73181599|37|1|30024-122100110|2023-03-06 17:03:02|
1592|3002047|160|73181599|38|1|7030-220104|2023-03-06 17:03:02|
1592|3002047|160|73181606|39|1|30225-102810|2023-03-06 17:03:02|
1592|3002047|160|73181606|40|1|30204-102810, 30204-080810, 30219-122810, 30204-122810|2023-03-06 17:03:02|
1592|3002047|160|73181606|41|1|8030-040800-00001|2023-03-06 17:03:02|
1592|3002047|160|73181606|42|1|30200-020500, 30202-060110|2023-03-06 17:03:02|
1592|3002047|160|73181606|43|1|5HY0-070203|2023-03-06 17:03:02|
1592|3002047|160|73181606|44|1|5HY0-110001|2023-03-06 17:03:02|
1592|3002047|160|73182102|45|1|9010-080104|2023-03-06 17:03:02|
1592|3002047|160|73182291|46|1|30306-020800|2023-03-06 17:03:02|
1592|3002047|160|73182291|47|1|30309-060900, 30306-200112, 30303-060900|2023-03-06 17:03:02|
1592|3002047|160|73182291|48|1|30305-060112|2023-03-06 17:03:02|
1592|3002047|160|73182291|49|1|30309-060870|2023-03-06 17:03:02|
1592|3002047|160|73182302|50|1|30301-060412|2023-03-06 17:03:02|
1592|3002047|160|73182302|51|1|30902-0400820|2023-03-06 17:03:02|
1592|3002047|160|73182302|52|1|30303-100112|2023-03-06 17:03:02|
1592|3002047|160|73182403|53|1|30903-0322210|2023-03-06 17:03:02|
1592|3002047|160|73182403|54|1|9030-220011-00001, 5HY#-221601-1000, 7030-010508, 5HY#-220008-1000, 7030-222251|2023-03-06 17:03:02|
1592|3002047|160|73182403|55|1|30903-0403610|2023-03-06 17:03:02|
1592|3002047|160|73269099|56|1|5020-040049, 8010-000002|2023-03-06 17:03:02|
1592|3002047|160|73269099|57|1|5SYV-260213-6000|2023-03-06 17:03:02|
1592|3002047|160|82060001|59|1|5BWV-200100-5001|2023-03-06 17:03:02|
1592|3002047|160|83100099|60|1|5SYV-190000-MX, 5SYV-190101-MX, MX-190011|2023-03-06 17:03:02|
1592|3002047|160|84311001|61|1|5HY0-230010|2023-03-06 17:03:02|
1592|3002047|160|84833004|62|1|5HY0-801321|2023-03-06 17:03:02|
1592|3002047|160|84879001|63|1|5HY0-222080-30000|2023-03-06 17:03:02|
1592|3002047|160|85072099|64|1|31023004|2023-03-06 17:03:02|
1592|3002047|160|85129007|65|1|5HY0-041022, 5HY0-041023|2023-03-06 17:03:02|
1592|3002047|160|85365099|66|1|5ASV-169020-6001, 5ASV-169050-6001|2023-03-06 17:03:02|
1592|3002047|160|85365099|67|1|5ASV-160700-6000|2023-03-06 17:03:02|
1592|3002047|160|85365099|68|1|5ASV-169090-6001|2023-03-06 17:03:02|
1592|3002047|160|85369099|69|1|5ASV-169030-6001|2023-03-06 17:03:02|
1592|3002047|160|85389001|70|1|5ASV-152200-6001, 5ASV-152100-6000|2023-03-06 17:03:02|
1592|3002047|160|85443099|71|1|5SYV-150100-6501|2023-03-06 17:03:02|
1592|3002047|160|87082902|72|1|5HYV-041042-1C00-0ET00A|2023-03-06 17:03:02|
1592|3002047|160|87082923|73|1|5HY0-261400|2023-03-06 17:03:02|
1592|3002047|160|87082923|74|1|5HY0-261300|2023-03-06 17:03:02|
1592|3002047|160|87082923|75|1|9060-340001|2023-03-06 17:03:02|
1592|3002047|160|87082999|76|1|5SYV-044042-6001-11, 5SYV-044041-6001-11|2023-03-06 17:03:02|
1592|3002047|160|87082999|77|1|5HY0-030053|2023-03-06 17:03:02|
1592|3002047|160|87082999|78|1|5SYV-030040-6000|2023-03-06 17:03:02|
1592|3002047|160|87082999|79|1|7000-031820|2023-03-06 17:03:02|
1592|3002047|160|87083099|80|1|5HY0-080002|2023-03-06 17:03:02|
1592|3002047|160|87088005|81|1|5HYV-060401-1000, 5HYV-060201-1000|2023-03-06 17:03:02|
1592|3002047|160|87088005|82|1|5ASV-050201-6000, 5ASV-050401-6000|2023-03-06 17:03:02|
1592|3002047|160|87088005|83|1|5SYV-050103-6000|2023-03-06 17:03:02|
1592|3002047|160|87088099|84|1|5SYV-211001-6000|2023-03-06 17:03:02|
1592|3002047|160|87089203|85|1|5HY0-021202|2023-03-06 17:03:02|
1592|3002047|160|87089203|86|1|5HY0-021301-10000|2023-03-06 17:03:02|
1592|3002047|160|87089412|87|1|5ASV-102110-6000|2023-03-06 17:03:02|
1592|3002047|160|87089999|88|1|5HY0-223013, 5HY0-223012|2023-03-06 17:03:02|
1592|3002047|160|87089999|89|1|5HY0-401100A, 5HY0-401300, 5HY0-401100|2023-03-06 17:03:02|
1592|3002047|160|87089999|90|1|5HY0-220009|2023-03-06 17:03:02|
1592|3002047|160|90262003|91|1|TFQ002|2023-03-06 17:03:02|
1592|3002047|160|94012001|92|1|5HY0-131000-50000|2023-03-06 17:03:02|
1592|3002047|160|94019999|93|1|5HY#-133000-1000, 5HYV-134000-1C00|2023-03-06 17:03:02|
1592|3002047|160|94019999|94|1|7020-130001|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|3|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|3|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|4|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|4|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|5|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|5|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|6|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002049|160|87032199|6|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|7|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002049|160|87032199|7|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002049|160|87032199|8|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002049|160|87032199|8|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002061|160|73269099|1|1|TBT058, TBT066|2023-03-06 17:03:03|
1592|3002076|160|39172991|1|1|703A-200103|2023-03-23 12:03:00|
1592|3002076|160|39199099|2|1|5HY0-190002, 5HY0-190003, 5HY0-190004, 5HY0-190005, 5HY0-190006, 5HY0-190007, 5HY0-190008, 5HY0-190009-10000, 5HY0-19001|2023-03-23 12:03:00|
1592|3002076|160|39199099|2|2|7, 5HY0-190018, 5HY0-190019, 5HYV-190001-1F00, 5HYV-190021-4000, 5HYV-190022-1900, 905B-190412, 905B-190413, 9AW#-190007|2023-03-23 12:03:00|
1592|3002076|160|39199099|2|3|-2410, 9AWA-190008, 9CR6-190204|2023-03-23 12:03:00|
1592|3002076|160|39199099|3|1|5HY0-190015, 5HY0-190016|2023-03-23 12:03:00|
1592|3002076|160|39199099|4|1|5HYV-190201-1D00-10, 5HYV-190202-1D00-10, 5HYV-190203-1D00-10, 5HYV-190204-1D00-10, 5HYV-190205-1D00-10|2023-03-23 12:03:00|
1592|3002076|160|39235001|5|1|0180-110005|2023-03-23 12:03:00|
1592|3002076|160|39235001|6|1|5BY0-042032|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|1|5HY#-041051-1010, 5HY#-041052-1010, 5HY#-041053-1000, 5HY#-041054-1000, 5HY#-042021-6000-10, 5HY#-042022-6000-10, 5HY0-0|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|2|41012, 5HY0-042025, 5HY0-042026, 5HY0-042027, 5HY0-042028, 5HY0-042052, 5HY0-042053, 5HY0-043014, 5HY0-043016-00001, 5HY|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|3|0-043033, 5HY0-043043, 5HY0-043062, 5HY0-043064, 5HY0-043073, 5HYV-041011-1C00, 5HYV-041021-1C00, 5HYV-041031-1F00, 5HYV|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|4|-042011-1001, 5HYV-042012-1001, 5HYV-042051-1C00, 5HYV-043013-1C00, 5HYV-043017-1C00, 5HYV-043031-1F00, 5HYV-043041-1C00|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|5|, 5HYV-043042-1000, 5HYV-043044-1000, 5HYV-043071-1C01, 5HYV-043072-1C00, 5HY#-043061-1000-11, 5HY0-043063-10000, 5HYV-0|2023-03-23 12:03:00|
1592|3002076|160|39263002|7|6|43053-1000|2023-03-23 12:03:00|
1592|3002076|160|39263002|8|1|5HY0-043092|2023-03-23 12:03:00|
1592|3002076|160|39269020|9|1|5ASV-190001-6000, 5ASV-190019-6000|2023-03-23 12:03:00|
1592|3002076|160|39269099|10|1|5ASV-070101-6001, 5ASV-102101-6000, 5BY0-080007, 5BY0-080008, 5SYV-044032-6000|2023-03-23 12:03:00|
