Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1592|3002047|160|73182102|45|3|0|43|2023-03-06 17:03:02|
1592|3002047|160|73182291|46|3|0|30|2023-03-06 17:03:02|
1592|3002047|160|73182291|47|3|0|77|2023-03-06 17:03:02|
1592|3002047|160|73182291|48|3|0|9|2023-03-06 17:03:02|
1592|3002047|160|73182291|49|3|0|9|2023-03-06 17:03:02|
1592|3002047|160|73182302|50|3|0|41|2023-03-06 17:03:02|
1592|3002047|160|73182302|51|3|0|9|2023-03-06 17:03:02|
1592|3002047|160|73182302|52|3|0|6|2023-03-06 17:03:02|
1592|3002047|160|73182403|53|3|0|23|2023-03-06 17:03:02|
1592|3002047|160|73182403|54|3|0|105|2023-03-06 17:03:02|
1592|3002047|160|73182403|55|3|0|7|2023-03-06 17:03:02|
1592|3002047|160|73269099|56|3|0|48|2023-03-06 17:03:02|
1592|3002047|160|73269099|57|3|0|12|2023-03-06 17:03:02|
1592|3002047|160|73269099|58|3|0|2880|2023-03-06 17:03:02|
1592|3002047|160|82060001|59|3|0|89|2023-03-06 17:03:02|
1592|3002047|160|82060001|59|6|0|72|2023-03-06 17:03:02|
1592|3002047|160|83100099|60|3|0|14|2023-03-06 17:03:02|
1592|3002047|160|83100099|60|6|0|8|2023-03-06 17:03:02|
1592|3002047|160|84311001|61|3|0|4|2023-03-06 17:03:02|
1592|3002047|160|84833004|62|3|0|11|2023-03-06 17:03:02|
1592|3002047|160|84879001|63|3|0|8|2023-03-06 17:03:02|
1592|3002047|160|84879001|63|6|0|6|2023-03-06 17:03:02|
1592|3002047|160|85072099|64|3|0|1271|2023-03-06 17:03:02|
1592|3002047|160|85072099|64|6|0|1029|2023-03-06 17:03:02|
1592|3002047|160|85129007|65|3|0|5|2023-03-06 17:03:02|
1592|3002047|160|85365099|66|3|0|223|2023-03-06 17:03:02|
1592|3002047|160|85365099|67|3|0|73|2023-03-06 17:03:02|
1592|3002047|160|85365099|68|3|0|107|2023-03-06 17:03:02|
1592|3002047|160|85369099|69|3|0|116|2023-03-06 17:03:02|
1592|3002047|160|85389001|70|3|0|41|2023-03-06 17:03:02|
1592|3002047|160|85443099|71|3|0|637|2023-03-06 17:03:02|
1592|3002047|160|85443099|71|6|0|188|2023-03-06 17:03:02|
1592|3002047|160|87082902|72|3|0|35|2023-03-06 17:03:02|
1592|3002047|160|87082923|73|3|0|37|2023-03-06 17:03:02|
1592|3002047|160|87082923|74|3|0|37|2023-03-06 17:03:02|
1592|3002047|160|87082923|75|3|0|24|2023-03-06 17:03:02|
1592|3002047|160|87082999|76|3|0|7|2023-03-06 17:03:02|
1592|3002047|160|87082999|76|6|0|2|2023-03-06 17:03:02|
1592|3002047|160|87082999|77|3|0|29|2023-03-06 17:03:02|
1592|3002047|160|87082999|77|6|0|9|2023-03-06 17:03:02|
1592|3002047|160|87082999|78|3|0|49|2023-03-06 17:03:02|
1592|3002047|160|87082999|78|6|0|15|2023-03-06 17:03:02|
1592|3002047|160|87082999|79|3|0|35|2023-03-06 17:03:02|
1592|3002047|160|87082999|79|6|0|10|2023-03-06 17:03:02|
1592|3002047|160|87083099|80|3|0|1|2023-03-06 17:03:02|
1592|3002047|160|87088005|81|3|0|2|2023-03-06 17:03:02|
1592|3002047|160|87088005|82|3|0|2|2023-03-06 17:03:02|
1592|3002047|160|87088005|83|3|0|270|2023-03-06 17:03:02|
1592|3002047|160|87088099|84|3|0|93|2023-03-06 17:03:02|
1592|3002047|160|87088099|84|6|0|28|2023-03-06 17:03:02|
1592|3002047|160|87089203|85|3|0|3|2023-03-06 17:03:02|
1592|3002047|160|87089203|86|3|0|2|2023-03-06 17:03:02|
1592|3002047|160|87089412|87|3|0|39|2023-03-06 17:03:02|
1592|3002047|160|87089999|88|3|0|2|2023-03-06 17:03:02|
1592|3002047|160|87089999|89|3|0|173|2023-03-06 17:03:02|
1592|3002047|160|87089999|90|3|0|1|2023-03-06 17:03:02|
1592|3002047|160|90262003|91|3|0|7|2023-03-06 17:03:02|
1592|3002047|160|90262003|91|6|0|6|2023-03-06 17:03:02|
1592|3002047|160|94012001|92|3|0|1631|2023-03-06 17:03:02|
1592|3002047|160|94019999|93|3|0|578|2023-03-06 17:03:02|
1592|3002047|160|94019999|94|3|0|45|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|3|0|5810|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|6|0|6012|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|3|0|5797|2023-03-06 17:03:02|
