Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1592|3002152|160|ED|0438230TV1XA5|2||2023-04-25 16:04:02|
1592|3002160|160|CR|241|1||2023-04-27 18:04:01|
1592|3002160|160|ED|0170230QWV3O1|1||2023-04-27 18:04:01|
1592|3002160|160|ED|0192230SGH203|1||2023-04-27 18:04:01|
1592|3002160|160|ED|0192230SGP407|1||2023-04-27 18:04:01|
1592|3002160|160|ED|0438230TW7L71|1||2023-04-27 18:04:01|
1592|3002160|160|PD|3|1|1|2023-04-27 18:04:01|
1592|3002167|160|CR|241|2||2023-04-29 10:04:02|
1592|3002167|160|ED|0170230QWV3O1|2||2023-04-29 10:04:02|
1592|3002167|160|ED|0192230SGH203|2||2023-04-29 10:04:02|
1592|3002167|160|ED|0192230SGP407|2||2023-04-29 10:04:02|
1592|3002167|160|ED|0438230TW7L71|2||2023-04-29 10:04:02|
1592|3002167|160|PD|2|2|1|2023-04-29 10:04:02|
3574|2004651|160|CR|241|1||2022-12-22 16:12:00|
3574|2004651|160|ED|0192220R958K5|1||2022-12-22 16:12:00|
3574|2004651|160|ED|0438220SA47H8|1||2022-12-22 16:12:00|
3574|2004651|160|VN|4|1||2022-12-22 16:12:00|
3574|3000090|160|CR|241|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0192230RCWN95|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0192230RCWNF2|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0192230RCWNG3|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0192230RCWNI7|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0438230SEUK48|1||2023-01-05 19:01:00|
3574|3000090|160|ED|0438230SEUK56|1||2023-01-05 19:01:00|
3574|3000100|160|CR|241|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0192230REP0A2|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0192230REP0I2|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0192230REP0K2|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0192230REP9R7|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0438230SHSZC7|1||2023-01-12 10:01:02|
3574|3000100|160|ED|0438230SHSZD1|1||2023-01-12 10:01:02|
3574|3000995|160|CR|241|1||2023-03-30 17:03:02|
3574|3000995|160|ED|0170230QGNG44|1||2023-03-30 17:03:02|
3574|3000995|160|ED|0192230S37M52|1||2023-03-30 17:03:02|
3574|3000995|160|ED|0192230S6LYT2|1||2023-03-30 17:03:02|
3574|3000995|160|ED|0438230TE8SF7|1||2023-03-30 17:03:02|
3574|3000995|160|PP|20239540|1||2023-03-30 17:03:02|
3574|3001174|160|CR|241|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0192230REP0A2|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0192230REP0I2|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0192230REP0K2|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0192230REP9R7|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0438230SHSZC7|2||2023-03-10 18:03:01|
3574|3001174|160|ED|0438230SHSZD1|2||2023-03-10 18:03:01|
3574|3001179|160|CR|241|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0192230RCWN95|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0192230RCWNF2|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0192230RCWNG3|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0192230RCWNI7|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0438230SEUK48|2||2023-03-10 18:03:02|
3574|3001179|160|ED|0438230SEUK56|2||2023-03-10 18:03:02|
3574|3001382|160|CR|241|1||2023-04-17 17:04:03|
3574|3001382|160|ED|0192230SCJ5Z8|1||2023-04-17 17:04:03|
3574|3001382|160|ED|0438230TNJSN3|1||2023-04-17 17:04:03|
3574|3001382|160|PP|20239540|1||2023-04-17 17:04:03|
3574|3001383|160|CR|241|1||2023-04-18 18:04:03|
3574|3001383|160|ED|0192230SCXM48|1||2023-04-18 18:04:03|
3574|3001383|160|ED|0438230TN3UT5|1||2023-04-18 18:04:03|
3574|3001383|160|PP|20239540|1||2023-04-18 18:04:03|
3574|3001546|160|CR|241|1||2023-04-18 18:04:04|
3574|3001546|160|ED|0192230SCXM48|1||2023-04-18 18:04:04|
3574|3001546|160|ED|0438230TN3UT5|1||2023-04-18 18:04:04|
3574|3001546|160|PP|20239540|1||2023-04-18 18:04:04|
