Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
1592|3002047|160|73181599|36|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|37|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|38|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|39|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|40|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|41|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|42|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|43|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181606|44|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182102|45|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182291|46|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182291|47|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182291|48|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182291|49|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182302|50|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182302|51|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182302|52|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182403|53|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182403|54|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73182403|55|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73269099|56|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73269099|57|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73269099|58|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|82060001|59|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|82060001|59|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|83100099|60|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|83100099|60|6|10.00000|1|2023-03-06 17:03:02|
1592|3002047|160|84311001|61|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|84833004|62|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|84879001|63|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|84879001|63|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|85072099|64|3|16.00000|1|2023-03-06 17:03:02|
