Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
1925|5700297|160|1|2025-11-25|2025-11-27 13:25:01|
3471|5600798|160|2|2025-11-14|2025-11-14 16:30:06|
3897|5611341|240|2|2025-11-05|2025-11-05 11:01:07|
3577|5102455|521|1|2025-11-24|2025-11-26 14:06:01|
1925|5700236|160|1|2025-11-11|2025-11-13 10:49:01|
1925|5001388|160|1|2025-11-11|2025-11-13 13:04:02|
3043|5603323|520|2|2025-11-10|2025-11-10 18:13:00|
3471|5600732|160|1|2025-11-17|2025-11-20 16:20:02|
3471|5600892|160|1|2025-11-17|2025-11-21 23:57:02|
3577|5102363|521|1|2025-11-06|2025-11-07 15:33:01|
1925|5700344|160|2|2025-11-22|2025-11-22 10:59:01|
1925|5700216|160|1|2025-11-11|2025-11-12 18:20:01|
3577|5102462|521|2|2025-11-27|2025-11-27 14:03:01|
1925|5001393|160|1|2025-11-11|2025-11-13 11:32:03|
1925|5700363|160|1|2025-11-17|2025-11-21 13:21:03|
1925|5700336|160|2|2025-11-21|2025-11-21 12:23:00|
1905|5017408|160|1|2025-10-01|2025-11-14 18:36:06|
3471|5600740|160|2|2025-11-20|2025-11-20 18:28:04|
3043|5603391|523|2|2025-11-11|2025-11-11 18:12:02|
1925|5700352|160|2|2025-11-20|2025-11-20 11:38:05|
1925|5700226|160|2|2025-11-12|2025-11-12 18:32:01|
1925|5700361|160|1|2025-11-17|2025-11-21 13:26:01|
1925|5700317|160|2|2025-11-28|2025-11-28 11:25:04|
3471|5600902|160|1|2025-11-17|2025-11-21 23:57:01|
1925|5001389|160|2|2025-11-13|2025-11-13 11:32:02|
3043|5003412|523|2|2025-11-26|2025-11-26 17:04:02|
3471|5600803|160|1|2025-11-17|2025-11-19 18:35:03|
1925|5700311|160|1|2025-11-25|2025-11-28 11:14:06|
1925|5700369|160|1|2025-11-17|2025-11-21 18:50:03|
3577|5102369|521|2|2025-11-12|2025-11-12 13:58:01|
1925|5700205|160|2|2025-11-13|2025-11-13 10:42:02|
3577|5102429|521|1|2025-11-14|2025-11-20 12:22:01|
