Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|5600782|160|73181599|46|EC|1||2025-11-19 15:41:01|
3471|5600789|160|73181599|48|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:04|
1925|5001427|160|39269029|85|PS|XIX||2025-11-19 12:00:05|
1925|5100856|160|73181599|29|EC|1||2025-11-19 11:27:03|
1925|5700210|160|87082999|15|PS|XIX||2025-11-12 17:57:01|
1925|5700281|160|73181599|16|EN|X|NOM-050-SCFI-2004|2025-11-19 10:04:02|
1925|5700216|160|87082999|14|PS|XIX||2025-11-12 18:20:01|
1925|5001388|160|87082201|68|PS|XIX||2025-11-13 13:04:02|
1925|5700355|160|85269299|41|XP|D1|U|2025-11-20 11:41:02|
3471|5600766|160|73182291|105|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700327|160|87089999|112|EN|X|NOM-050-SCFI-2004|2025-11-20 12:24:03|
3471|5600781|160|73269099|2|XP|T1|U|2025-11-19 19:29:03|
1925|5700238|160|73181599|163|EN|X|NOM-050-SCFI-2004|2025-11-13 14:41:01|
1925|5100823|160|85269299|7|EN|U|NOM-024-SCFI-2013|2025-11-12 16:31:00|
1925|5700277|160|73181599|16|EN|X|NOM-050-SCFI-2004|2025-11-19 09:58:01|
1925|5100827|160|39269099|131|EN|U|NOM-002-CONAGUA-2021|2025-11-12 16:35:05|
3471|5600764|160|84836099|83|PS|XIX||2025-11-19 19:00:03|
3471|5600789|160|73181599|61|EC|1||2025-11-19 18:29:04|
1925|5001425|160|87082999|141|PS|XIX||2025-11-19 12:01:01|
3471|5600764|160|87089999|186|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
1925|5100825|160|70091099|84|EN|X|NOM-024-SCFI-2013|2025-11-12 16:35:02|
1925|5001423|160|87082201|75|PS|XIX||2025-11-19 12:01:02|
1925|5100831|160|87087099|9|EN|U|NOM-086-SCFI-2018|2025-11-12 16:35:03|
1925|5100823|160|87089999|156|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100854|160|39269099|207|EN|U|NOM-002-CONAGUA-2021|2025-11-19 11:25:05|
3471|5600764|160|87082999|124|PS|XIX||2025-11-19 19:00:03|
3471|5600764|160|85044099|85|EN|ENOM|NOM-058-SCFI-2017|2025-11-19 19:00:03|
3471|5600766|160|39269099|37|XP|A1|U|2025-11-19 18:35:03|
1925|5700228|160|87082201|13|PS|XIX||2025-11-13 09:35:05|
1925|5100829|160|39269099|34|EN|U|NOM-002-CONAGUA-2021|2025-11-12 16:35:03|
3471|5600770|160|73181599|9|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:05|
1925|5100827|160|39263002|119|PS|XIX||2025-11-12 16:35:05|
3471|5600789|160|83023091|101|PS|XIX||2025-11-19 18:29:04|
1925|5100854|160|73182291|114|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
1925|5001423|160|85365099|223|EN|X|NOM-003-SCFI-2014|2025-11-19 12:01:02|
1925|5700281|160|87089412|70|EN|X|NOM-050-SCFI-2004|2025-11-19 10:04:02|
1925|5100831|160|87085099|50|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:03|
3471|5600764|160|85365099|96|EN|X|NOM-024-SCFI-2013|2025-11-19 19:00:03|
1925|5100823|160|87082999|168|PS|XIX||2025-11-12 16:31:00|
1925|5700226|160|39191001|73|EN|X|NOM-050-SCFI-2004|2025-11-12 18:32:01|
1925|5001421|160|85269299|45|EN|U|NOM-001-SCFI-2018|2025-11-19 12:01:02|
1925|5700281|160|73182291|75|EN|X|NOM-050-SCFI-2004|2025-11-19 10:04:02|
1925|5001423|160|87082999|183|PS|XIX||2025-11-19 12:01:02|
3471|5600764|160|87085099|156|PS|XIX||2025-11-19 19:00:03|
1925|5100825|160|70091099|83|EN|U|NOM-050-SCFI-2004|2025-11-12 16:35:02|
1925|5100823|160|87082101|204|EN|X|NOM-119-SCFI-2000|2025-11-12 16:31:00|
3471|5600789|160|39269099|5|XP|S1|U|2025-11-19 18:29:04|
1925|5100827|160|87082999|194|PS|XIX||2025-11-12 16:35:05|
3471|5600785|160|98020019|68|EC|1||2025-11-19 19:35:02|
3471|5600789|160|73181599|31|EC|1||2025-11-19 18:29:04|
1925|5001425|160|39269099|172|XP|S3|U|2025-11-19 12:01:01|
3471|5600789|160|85044099|108|EN|X|NOM-024-SCFI-2013|2025-11-19 18:29:04|
1925|5100827|160|40169304|154|EN|U|NOM-002-CONAGUA-2021|2025-11-12 16:35:05|
3471|5600770|160|73181599|10|EC|1||2025-11-19 18:29:05|
3577|5102369|521|84672902|1|EN|X|NOM-024-SCFI-2013|2025-11-12 13:58:01|
1925|5700204|160|39269099|112|XP|A1|U|2025-11-13 10:37:02|
1925|5700279|160|87082999|83|PS|XIX||2025-11-19 09:58:02|
1925|5700327|160|73181599|2|EN|X|NOM-050-SCFI-2004|2025-11-20 12:24:03|
3471|5600780|160|87089999|72|EN|X|NOM-050-SCFI-2004|2025-11-19 19:29:03|
3471|5600764|160|85365099|97|EN|X|NOM-024-SCFI-2013|2025-11-19 19:00:03|
1925|5100827|160|39269099|88|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:05|
1925|5100823|160|73181599|95|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5001425|160|87082999|34|PS|XIX||2025-11-19 12:01:01|
1925|5700212|160|87082999|2|PS|XIX||2025-11-12 18:08:01|
3471|5600789|160|39269099|5|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:04|
1925|5700279|160|87082999|43|PS|XIX||2025-11-19 09:58:02|
1925|5700355|160|39269099|99|XP|S3|U|2025-11-20 11:41:02|
3471|5600766|160|39269099|36|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700226|160|87089412|50|EN|X|NOM-050-SCFI-2004|2025-11-12 18:32:01|
1925|5001425|160|39269099|5|XP|A1|U|2025-11-19 12:01:01|
1925|5700210|160|85182202|37|EN|E|NOM-024-SCFI-2013|2025-11-12 17:57:01|
1925|5001390|160|87089999|58|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:03|
3471|5600768|160|39269099|5|XP|S3|U|2025-11-19 16:47:03|
3471|5600789|160|39173999|1|EN|U|NOM-209-SCFI-2017|2025-11-19 18:29:04|
1925|5001421|160|73181606|65|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
1925|5700281|160|40093205|82|EN|X|NOM-209-SCFI-2017|2025-11-19 10:04:02|
1925|5100831|160|87082999|19|PS|XIX||2025-11-12 16:35:03|
1925|5700210|160|39269099|44|EN|U|NOM-002-CONAGUA-2021|2025-11-12 17:57:01|
1925|5001425|160|39269099|172|XP|A1|U|2025-11-19 12:01:01|
1925|5700226|160|73181599|1|EN|X|NOM-050-SCFI-2004|2025-11-12 18:32:01|
1925|5001425|160|39269099|78|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:01|
3471|5600782|160|39269099|31|XP|A1|U|2025-11-19 15:41:01|
1925|5700279|160|87089999|2|EN|X|NOM-050-SCFI-2004|2025-11-19 09:58:02|
3471|5600791|160|87089904|11|PS|XIX||2025-11-19 18:35:03|
1925|5700210|160|85365099|42|EN|U|NOM-024-SCFI-2013|2025-11-12 17:57:01|
1925|5100856|160|87082999|200|PS|XIX||2025-11-19 11:27:03|
1925|5700214|160|39269099|66|XP|S1|U|2025-11-12 18:15:01|
1925|5700200|160|87082999|3|PS|XIX||2025-11-13 10:25:05|
1925|5001421|160|87089999|43|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
1925|5700327|160|87088099|77|PS|XIX||2025-11-20 12:24:03|
1925|5001423|160|83082001|151|PS|XIX||2025-11-19 12:01:02|
3471|5600768|160|39269099|6|EN|X|NOM-050-SCFI-2004|2025-11-19 16:47:03|
1890|5110449|750|87087099|1|EN|X|NOM-050-SCFI-2004|2025-11-11 10:21:00|
1925|5001392|160|87089412|22|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:03|
1925|5100856|160|73181599|27|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
1925|5700210|160|85443099|35|EN|X|NOM-024-SCFI-2013|2025-11-12 17:57:01|
1925|5100854|160|39263002|98|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
3471|5600764|160|39269099|24|EN|U|NOM-002-CONAGUA-2021|2025-11-19 19:00:03|
3471|5600766|160|87089412|217|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700328|160|73269099|3|XP|T1|U|2025-11-20 12:26:03|
1925|5700210|160|85044099|36|EN|U|NOM-001-SCFI-2018|2025-11-12 17:57:01|
1925|5001423|160|87082999|30|PS|XIX||2025-11-19 12:01:02|
1925|5100823|160|73181599|148|EC|1||2025-11-12 16:31:00|
1925|5700218|160|73182403|141|EN|X|NOM-050-SCFI-2004|2025-11-13 10:05:03|
3471|5600789|160|87088007|195|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:04|
1925|5700277|160|73181606|43|EN|X|NOM-050-SCFI-2004|2025-11-19 09:58:01|
1925|5001427|160|85182202|46|EN|E|NOM-032-ENER-2013|2025-11-19 12:00:05|
3471|5600764|160|39269099|23|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
1925|5700238|160|73181599|35|EN|X|NOM-050-SCFI-2004|2025-11-13 14:41:01|
1925|5100823|160|73182291|123|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
3471|5600764|160|39269099|19|XP|S1|U|2025-11-19 19:00:03|
3577|5102368|521|87089412|33|EN|X|NOM-050-SCFI-2004|2025-11-13 19:27:00|
1925|5700283|160|87089999|107|EN|X|NOM-050-SCFI-2004|2025-11-19 10:05:03|
3471|5600787|160|49089099|75|EN|X|NOM-050-SCFI-2004|2025-11-20 10:54:04|
3471|5600766|160|39269099|30|XP|A1|U|2025-11-19 18:35:03|
1925|5700273|160|73181599|12|EN|X|NOM-050-SCFI-2004|2025-11-19 09:44:04|
1925|5100823|160|73181599|96|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5001423|160|87085099|210|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
1925|5001390|160|87082999|22|PS|XIX||2025-11-13 13:04:03|
1925|5100823|160|87085099|202|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100856|160|73181599|64|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
3471|5600770|160|87082999|41|PS|XIX||2025-11-19 18:29:05|
3471|5600734|160|84672999|12|PS|XIX||2025-11-20 21:45:00|
1925|5001425|160|87083099|98|EN|U|NOM-050-SCFI-2004|2025-11-19 12:01:01|
1925|5700226|160|39269099|119|XP|S3|U|2025-11-12 18:32:01|
1925|5100823|160|73181599|144|EC|1||2025-11-12 16:31:00|
1925|5001423|160|87082201|64|PS|XIX||2025-11-19 12:01:02|
1925|5100823|160|73181599|86|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
3471|5600770|160|87082999|33|PS|XIX||2025-11-19 18:29:05|
3471|5600789|160|39269099|6|EN|U|NOM-002-CONAGUA-2021|2025-11-19 18:29:04|
3471|5600789|160|73181599|42|EN|X|NOM-050-SCFI-2004|2025-11-19 18:29:04|
3471|5600764|160|39269029|15|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
1925|5700226|160|73181599|7|EC|1||2025-11-12 18:32:01|
3471|5600764|160|87089999|192|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
1925|5700226|160|87082999|53|PS|XIX||2025-11-12 18:32:01|
1925|5700218|160|73181599|48|EC|1||2025-11-13 10:05:03|
1925|5001421|160|85182202|185|EN|X|NOM-001-SCFI-2018|2025-11-19 12:01:02|
3471|5600766|160|73181599|86|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700277|160|85182202|62|EN|U|NOM-001-SCFI-2018|2025-11-19 09:58:01|
1925|5700271|160|39269099|50|EN|E|NOM-050-SCFI-2004|2025-11-19 09:42:02|
1925|5001386|160|73181599|28|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5700226|160|49089099|76|EN|X|NOM-050-SCFI-2004|2025-11-12 18:32:01|
3471|5600785|160|39269099|8|EN|X|NOM-050-SCFI-2004|2025-11-19 19:35:02|
1925|5700226|160|83023091|92|PS|XIX||2025-11-12 18:32:01|
3471|5600768|160|39269099|4|XP|A1|U|2025-11-19 16:47:03|
3471|5600789|160|87082999|152|PS|XIX||2025-11-19 18:29:04|
1925|5700275|160|87082999|43|PS|XIX||2025-11-19 09:51:01|
3471|5600766|160|39269099|37|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5100823|160|84818022|52|EN|X|NOM-002-CONAGUA-2021|2025-11-12 16:31:00|
3471|5600769|160|73269099|2|XP|T9|U|2025-11-19 16:47:04|
1925|5001394|160|39269099|187|EN|U|NOM-002-CONAGUA-2021|2025-11-13 11:32:07|
1925|5700218|160|87088009|139|EN|X|NOM-050-SCFI-2004|2025-11-13 10:05:03|
3471|5600789|160|39173999|2|EN|U|NOM-209-SCFI-2017|2025-11-19 18:29:04|
3471|5600789|160|87081099|123|PS|XIX||2025-11-19 18:29:04|
1925|5001425|160|87082201|193|PS|XIX||2025-11-19 12:01:01|
3471|5600785|160|87089199|77|PS|XIX||2025-11-19 19:35:02|
1925|5001394|160|85371004|189|PS|XIX||2025-11-13 11:32:07|
1925|5700230|160|87082999|16|PS|XIX||2025-11-13 09:40:03|
3471|5600766|160|39269099|34|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700214|160|73181401|12|EN|X|NOM-050-SCFI-2004|2025-11-12 18:15:01|
1925|5100856|160|73181599|68|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
1925|5001423|160|73269099|33|XP|T1|U|2025-11-19 12:01:02|
1925|5700283|160|87082999|93|PS|XIX||2025-11-19 10:05:03|
1925|5700329|160|83023091|80|PS|XIX||2025-11-20 12:28:02|
1925|5100829|160|87082999|22|PS|XIX||2025-11-12 16:35:03|
3471|5600766|160|39263002|26|EN|U|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5100831|160|87089999|14|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:03|
1925|5100823|160|73181599|151|EC|1||2025-11-12 16:31:00|
1925|5100856|160|73181606|135|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
1925|5700271|160|87089203|35|EN|X|NOM-050-SCFI-2004|2025-11-19 09:42:02|
1925|5700271|160|39269099|21|XP|A1|U|2025-11-19 09:42:02|
3471|5600782|160|87082999|108|PS|XIX||2025-11-19 15:41:01|
1925|5001386|160|87089999|159|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5100829|160|85122099|44|PS|XIX||2025-11-12 16:35:03|
1925|5001421|160|87082999|49|PS|XIX||2025-11-19 12:01:02|
1925|5700218|160|85365099|120|EN|U|NOM-003-SCFI-2014|2025-11-13 10:05:03|
3471|5600764|160|39269099|18|XP|S1|U|2025-11-19 19:00:03|
3471|5600764|160|85269299|91|PS|XIX||2025-11-19 19:00:03|
1925|5001423|160|85269299|170|EN|U|NOM-024-SCFI-2013|2025-11-19 12:01:02|
1925|5700355|160|39269099|99|EN|X|NOM-050-SCFI-2004|2025-11-20 11:41:02|
1925|5100827|160|84253101|66|PS|XIX||2025-11-12 16:35:05|
1925|5700277|160|85044099|61|PS|XIX||2025-11-19 09:58:01|
1925|5700214|160|39269099|84|EN|U|NOM-002-CONAGUA-2021|2025-11-12 18:15:01|
1925|5700214|160|84253101|48|PS|XIX||2025-11-12 18:15:01|
1925|5700353|160|87082999|4|PS|XIX||2025-11-20 11:39:04|
1925|5100854|160|39269099|208|XP|S1|U|2025-11-19 11:25:05|
3471|5600768|160|87082999|58|PS|XIX||2025-11-19 16:47:03|
1925|5700277|160|87082999|35|PS|XIX||2025-11-19 09:58:01|
1925|5100825|160|87082999|14|PS|XIX||2025-11-12 16:35:02|
1925|5100823|160|85071099|138|EN|X|NOM-024-SCFI-2013|2025-11-12 16:31:00|
1925|5700355|160|87089999|173|EN|X|NOM-050-SCFI-2004|2025-11-20 11:41:02|
1925|5100827|160|87089999|25|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:05|
1925|5700355|160|87082999|126|PS|XIX||2025-11-20 11:41:02|
3471|5600789|160|73262006|98|EN|U|NOM-050-SCFI-2004|2025-11-19 18:29:04|
3471|5600770|160|87082999|35|PS|XIX||2025-11-19 18:29:05|
1925|5100854|160|87082999|27|PS|XIX||2025-11-19 11:25:05|
1925|5700200|160|87082999|18|PS|XIX||2025-11-13 10:25:05|
3471|5600766|160|73181599|84|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700216|160|87082999|17|PS|XIX||2025-11-12 18:20:01|
1925|5001389|160|73269099|7|XP|T1|U|2025-11-13 11:32:02|
3471|5600787|160|87082999|188|PS|XIX||2025-11-20 10:54:04|
3471|5600782|160|87088099|134|EN|X|NOM-050-SCFI-2004|2025-11-19 15:41:01|
1925|5700329|160|90328999|91|PS|XIX||2025-11-20 12:28:02|
1925|5700283|160|87082999|89|PS|XIX||2025-11-19 10:05:03|
1925|5100830|160|39232991|1|XP|A1|U|2025-11-12 16:35:03|
1925|5700238|160|73181599|16|EC|1||2025-11-13 14:41:01|
3471|5600766|160|73182291|107|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700216|160|87082999|13|PS|XIX||2025-11-12 18:20:01|
3471|5600780|160|87082999|55|PS|XIX||2025-11-19 19:29:03|
3471|5600789|160|85182202|110|EN|U|NOM-001-SCFI-2018|2025-11-19 18:29:04|
1925|5700355|160|73181599|24|EC|1||2025-11-20 11:41:02|
3471|5600780|160|87082999|51|PS|XIX||2025-11-19 19:29:03|
1925|5700210|160|87089999|8|EN|X|NOM-050-SCFI-2004|2025-11-12 17:57:01|
1925|5700355|160|39269099|101|EN|U|NOM-002-CONAGUA-2021|2025-11-20 11:41:02|
1925|5001386|160|73181606|40|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5700214|160|73181599|10|EC|1||2025-11-12 18:15:01|
1925|5700283|160|87082999|81|PS|XIX||2025-11-19 10:05:03|
1925|5001425|160|39269099|129|EN|U|NOM-002-CONAGUA-2021|2025-11-19 12:01:01|
3471|5600785|160|87089999|97|EN|X|NOM-050-SCFI-2004|2025-11-19 19:35:02|
1925|5700283|160|87082999|102|PS|XIX||2025-11-19 10:05:03|
1925|5700218|160|39269099|86|XP|S1|U|2025-11-13 10:05:03|
1925|5100823|160|73181599|80|EC|1||2025-11-12 16:31:00|
3471|5600766|160|39263002|27|EN|U|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5700232|160|87082999|19|PS|XIX||2025-11-13 09:50:05|
1925|5700282|160|73269099|5|XP|T1|U|2025-11-19 10:04:01|
3471|5600764|160|85182202|90|EN|U|NOM-001-SCFI-2018|2025-11-19 19:00:03|
1925|5100855|160|73269099|8|XP|T9|U|2025-11-19 11:25:05|
3471|5600764|160|73181599|61|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
1925|5700223|160|73269099|2|XP|T9|U|2025-11-12 18:20:02|
3471|5600768|160|87082999|56|PS|XIX||2025-11-19 16:47:03|
1925|5100829|160|87082999|6|PS|XIX||2025-11-12 16:35:03|
1925|5001386|160|87082999|186|PS|XIX||2025-11-13 13:04:02|
1925|5001427|160|87082101|58|EN|X|NOM-119-SCFI-2000|2025-11-19 12:00:05|
1925|5700329|160|87082999|20|PS|XIX||2025-11-20 12:28:02|
3471|5600782|160|39269099|29|XP|A1|U|2025-11-19 15:41:01|
3471|5600789|160|87082999|181|PS|XIX||2025-11-19 18:29:04|
1925|5001388|160|84152001|80|PS|XIX||2025-11-13 13:04:02|
1925|5100825|160|73269099|29|XP|T1|U|2025-11-12 16:35:02|
3471|5600769|160|73269099|5|XP|T9|U|2025-11-19 16:47:04|
1925|5100825|160|85365099|78|EN|X|NOM-024-SCFI-2013|2025-11-12 16:35:02|
3471|5600791|160|85182202|4|EN|U|NOM-208-SCFI-2016|2025-11-19 18:35:03|
1925|5100854|160|87085099|182|PS|XIX||2025-11-19 11:25:05|
3471|5600782|160|87089999|145|EN|X|NOM-050-SCFI-2004|2025-11-19 15:41:01|
3471|5600789|160|85364199|112|EN|U|NOM-024-SCFI-2013|2025-11-19 18:29:04|
1925|5100827|160|87082999|181|PS|XIX||2025-11-12 16:35:05|
3471|5600734|160|82052001|7|EN|X|NOM-050-SCFI-2004|2025-11-20 21:45:00|
1925|5100823|160|73181599|100|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100831|160|87087099|8|EN|U|NOM-050-SCFI-2004|2025-11-12 16:35:03|
3471|5600766|160|73181606|90|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5100856|160|87089412|85|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
3471|5600764|160|73269099|77|XP|T3|U|2025-11-19 19:00:03|
3471|5600766|160|73181599|88|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5100823|160|73181599|148|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100825|160|87082999|11|PS|XIX||2025-11-12 16:35:02|
1925|5700355|160|73181599|11|EC|1||2025-11-20 11:41:02|
1925|5100824|160|73269099|3|XP|T9|U|2025-11-12 16:35:04|
1925|5001421|160|87082999|62|PS|XIX||2025-11-19 12:01:02|
1925|5700355|160|73269099|193|XP|T1|U|2025-11-20 11:41:02|
1925|5100854|160|39269099|161|EN|U|NOM-002-CONAGUA-2021|2025-11-19 11:25:05|
3471|5600768|160|39263002|2|EN|U|NOM-050-SCFI-2004|2025-11-19 16:47:03|
1925|5001386|160|73181401|32|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5001421|160|73269099|161|XP|T1|U|2025-11-19 12:01:02|
1925|5001386|160|83082001|53|PS|XIX||2025-11-13 13:04:02|
1925|5700216|160|87082999|83|PS|XIX||2025-11-12 18:20:01|
3471|5600735|160|85153999|6|PS|XIX||2025-11-20 16:20:03|
1925|5700327|160|87089999|44|EN|X|NOM-050-SCFI-2004|2025-11-20 12:24:03|
3471|5600770|160|87082999|101|PS|XIX||2025-11-19 18:29:05|
3471|5600766|160|73181599|80|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5001386|160|73181599|20|EN|X|NOM-050-SCFI-2004|2025-11-13 13:04:02|
1925|5100827|160|83100099|101|ES|N||2025-11-12 16:35:05|
1925|5001427|160|39269099|61|XP|S1|U|2025-11-19 12:00:05|
1925|5100824|160|73181599|9|EC|1||2025-11-12 16:35:04|
1925|5700355|160|73181599|26|EC|1||2025-11-20 11:41:02|
1925|5700279|160|87082999|6|PS|XIX||2025-11-19 09:58:02|
1925|5100854|160|73181599|109|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
1925|5700355|160|87082922|90|PS|XIX||2025-11-20 11:41:02|
1925|5100827|160|87088099|42|PS|XIX||2025-11-12 16:35:05|
3471|5600734|160|39173291|1|XP|S1|U|2025-11-20 21:45:00|
1925|5100825|160|87082999|57|PS|XIX||2025-11-12 16:35:02|
1925|5700242|160|87082999|23|PS|XIX||2025-11-13 11:23:02|
1925|5100860|160|73181599|28|EN|X|NOM-050-SCFI-2004|2025-11-19 11:28:07|
1925|5100854|160|73181599|111|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
3471|5600766|160|73269099|121|XP|T3|U|2025-11-19 18:35:03|
3471|5600766|160|39269099|33|XP|A1|U|2025-11-19 18:35:03|
1925|5100823|160|87089999|71|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100832|160|73269099|4|XP|T9|U|2025-11-12 16:40:01|
1925|5700283|160|73181599|7|EN|X|NOM-050-SCFI-2004|2025-11-19 10:05:03|
1925|5700226|160|73181599|11|EC|1||2025-11-12 18:32:01|
1925|5001423|160|73181599|159|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
3471|5600787|160|87082999|193|PS|XIX||2025-11-20 10:54:04|
3471|5600785|160|39269099|12|XP|S1|U|2025-11-19 19:35:02|
1925|5700273|160|90328999|40|PS|XIX||2025-11-19 09:44:04|
1925|5100827|160|39269099|130|EN|X|NOM-050-SCFI-2004|2025-11-12 16:35:05|
3471|5600787|160|39263002|31|PS|XIX||2025-11-20 10:54:04|
1925|5100827|160|73269099|9|XP|T1|U|2025-11-12 16:35:05|
1925|5100825|160|87082201|23|PS|XIX||2025-11-12 16:35:02|
3471|5600766|160|39269099|30|EN|U|NOM-002-CONAGUA-2021|2025-11-19 18:35:03|
3471|5600766|160|87088007|210|PS|XIX||2025-11-19 18:35:03|
3471|5600782|160|87082999|111|PS|XIX||2025-11-19 15:41:01|
3471|5600782|160|87089999|150|EN|X|NOM-050-SCFI-2004|2025-11-19 15:41:01|
1925|5100823|160|73262006|133|EN|U|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5001386|160|73181599|4|EC|1||2025-11-13 13:04:02|
1925|5700283|160|87082999|83|PS|XIX||2025-11-19 10:05:03|
1925|5001386|160|73181599|27|EC|1||2025-11-13 13:04:02|
3471|5600766|160|73181599|83|EN|X|NOM-050-SCFI-2004|2025-11-19 18:35:03|
1925|5100855|160|73269099|10|XP|T1|U|2025-11-19 11:25:05|
3471|5600764|160|39269099|22|EN|X|NOM-050-SCFI-2004|2025-11-19 19:00:03|
3471|5600766|160|87082999|174|PS|XIX||2025-11-19 18:35:03|
1925|5100827|160|87088007|40|PS|XIX||2025-11-12 16:35:05|
1925|5001421|160|85291009|82|EN|X|NOM-024-SCFI-2013|2025-11-19 12:01:02|
1925|5700210|160|87089999|26|EN|X|NOM-050-SCFI-2004|2025-11-12 17:57:01|
3577|5102368|521|87089203|32|EN|X|NOM-050-SCFI-2004|2025-11-13 19:27:00|
3471|5600782|160|39263002|24|PS|XIX||2025-11-19 15:41:01|
1925|5100854|160|73182403|62|EN|X|NOM-050-SCFI-2004|2025-11-19 11:25:05|
1925|5100856|160|73181599|6|EC|1||2025-11-19 11:27:03|
1925|5700281|160|87089904|80|PS|XIX||2025-11-19 10:04:02|
1925|5700218|160|39269099|135|EN|U|NOM-002-CONAGUA-2021|2025-11-13 10:05:03|
1925|5100823|160|73181599|142|EC|1||2025-11-12 16:31:00|
3471|5600787|160|82060001|105|PS|XIX||2025-11-20 10:54:04|
1925|5001394|160|87082999|113|PS|XIX||2025-11-13 11:32:07|
1925|5700281|160|73181599|5|EN|X|NOM-050-SCFI-2004|2025-11-19 10:04:02|
1925|5700355|160|87082999|166|PS|XIX||2025-11-20 11:41:02|
3471|5600764|160|73269099|73|XP|T1|U|2025-11-19 19:00:03|
3471|5600764|160|85044099|85|EN|X|NOM-001-SCFI-2018|2025-11-19 19:00:03|
1925|5100823|160|73181606|118|EN|X|NOM-050-SCFI-2004|2025-11-12 16:31:00|
1925|5100856|160|73181606|43|EN|X|NOM-050-SCFI-2004|2025-11-19 11:27:03|
1925|5100827|160|39269099|142|XP|A1|U|2025-11-12 16:35:05|
1925|5700232|160|87082999|41|PS|XIX||2025-11-13 09:50:05|
1925|5700277|160|85129007|14|EN|U|NOM-050-SCFI-2004|2025-11-19 09:58:01|
1925|5700271|160|39269099|102|XP|S3|U|2025-11-19 09:42:02|
1925|5001421|160|87088007|178|EN|X|NOM-050-SCFI-2004|2025-11-19 12:01:02|
3471|5600787|160|73269099|93|XP|T3|U|2025-11-20 10:54:04|
1925|5700202|160|87082999|5|PS|XIX||2025-11-13 10:26:04|
