Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1647|5017166|240|633|56|2025-11-27 16:22:03|
3471|5600786|160|EMCU8269776|3|2025-11-19 19:35:01|
1647|5006933|240|RTI9017|56|2025-11-10 10:37:06|
1647|5006873|240|S431|56|2025-11-01 09:27:01|
1925|5700306|160|EGSU1721456|3|2025-11-28 11:04:03|
1647|5017166|240|T0089|56|2025-11-27 16:22:03|
1647|5017166|240|PCG18|56|2025-11-27 16:22:03|
1647|5006933|240|200697|56|2025-11-10 10:37:06|
1647|5016705|240|PCG16|56|2025-11-22 11:13:03|
1647|5017166|240|H09904|56|2025-11-27 16:22:03|
1647|5016705|240|H07237|56|2025-11-22 11:13:03|
1647|5006994|240|H14166|56|2025-11-14 17:36:10|
1647|5006873|240|341429|56|2025-11-01 09:27:01|
1647|5006933|240|PCG22|56|2025-11-10 10:37:06|
3043|5603320|523|SNLU195714|22|2025-11-10 18:13:01|
3043|5603323|520|JBHU265989|22|2025-11-10 18:13:00|
1647|5006873|240|9072-2|56|2025-11-01 09:27:01|
3471|5600797|160|PCIU9243887|3|2025-11-14 17:05:02|
3897|5611723|240|SNLU158212|22|2025-11-19 10:50:17|
1647|5006873|240|9053-2|56|2025-11-01 09:27:01|
1925|5700312|160|GAOU6472710|3|2025-11-28 11:37:01|
3471|5600766|160|EGSU9176810|3|2025-11-19 18:35:03|
1925|5100859|160|TCNU2080320|3|2025-11-19 11:28:06|
3043|5603320|523|SNLU196403|22|2025-11-10 18:13:01|
3043|5603320|523|SNLU138066|22|2025-11-10 18:13:01|
3043|5603392|523|SNLU144509|22|2025-11-18 18:43:01|
1647|5016705|240|553379|56|2025-11-22 11:13:03|
3471|5600785|160|EMCU8269776|3|2025-11-19 19:35:02|
3043|5603231|523|SNLU993198|22|2025-11-03 18:32:01|
3043|5603482|520|JBHU303398|22|2025-11-20 18:42:00|
1925|5100858|160|TGBU6964150|3|2025-11-19 11:48:01|
1647|5017166|240|PTLZ201114|56|2025-11-27 16:22:03|
1925|5700234|160|EMCU8753923|3|2025-11-13 10:44:02|
1925|5100855|160|TRHU4948169|3|2025-11-19 11:25:05|
1647|5006933|240|RJ092|56|2025-11-10 10:37:06|
3043|5603231|523|SNLU138106|22|2025-11-03 18:32:01|
3043|5603321|523|SNLU202056|22|2025-11-10 18:13:01|
1647|5016705|240|W95903|56|2025-11-22 11:13:03|
1647|5006933|240|S222|56|2025-11-10 10:37:06|
3043|5603320|523|SNLU997051|22|2025-11-10 18:13:01|
1647|5006873|240|2033164PLA|56|2025-11-01 09:27:01|
1647|5006933|240|HM56|56|2025-11-10 10:37:06|
1647|5017166|240|RJ127|56|2025-11-27 16:22:03|
1925|5700368|160|TIIU5121437|3|2025-11-21 18:47:04|
1647|5006873|240|902784|56|2025-11-01 09:27:01|
1925|5700214|160|EITU1170290|3|2025-11-12 18:15:01|
1647|5006933|240|S135|56|2025-11-10 10:37:06|
3043|5603482|520|JBHU341038|22|2025-11-20 18:42:00|
1647|5006994|240|PCG18|56|2025-11-14 17:36:10|
3471|5600952|160|TLLU4044507|3|2025-11-27 17:41:05|
1925|5001374|160|EGSU6319408|3|2025-11-01 11:06:01|
1647|5016705|240|S978|56|2025-11-22 11:13:03|
1647|5006873|240|7326775|56|2025-11-01 09:27:01|
1647|5017166|240|PCG32|56|2025-11-27 16:22:03|
3043|5603392|523|SNLU138670|22|2025-11-18 18:43:01|
3043|5603320|523|SNLU996678|22|2025-11-10 18:13:01|
3043|5603320|523|SNLU993383|22|2025-11-10 18:13:01|
1647|5006933|240|553379|56|2025-11-10 10:37:06|
1647|5016705|240|S613|56|2025-11-22 11:13:03|
3043|5603391|523|SNLU144887|22|2025-11-11 18:12:02|
1925|5001391|160|TCNU2280605|3|2025-11-13 11:32:03|
3471|5600903|160|TXGU5613385|3|2025-11-21 23:57:01|
3043|5603320|523|SNLU138095|22|2025-11-10 18:13:01|
3471|5600942|160|CIPU5189050|3|2025-11-27 18:24:03|
1925|5700345|160|FCIU9468780|3|2025-11-22 10:59:02|
1925|5700314|160|GCXU6444387|3|2025-11-28 11:33:03|
1647|5006873|240|RTI9124|56|2025-11-01 09:27:01|
1647|5006873|240|H15239|56|2025-11-01 09:27:01|
3471|5600783|160|TIIU5612370|3|2025-11-19 15:08:00|
1647|5016705|240|S123|56|2025-11-22 11:13:03|
1925|5001426|160|HMCU9179155|3|2025-11-19 12:00:02|
1647|5016705|240|PTLZ244236|56|2025-11-22 11:13:03|
3471|5600767|160|EGSU9176810|3|2025-11-21 15:26:02|
1647|5006933|240|W82205|56|2025-11-10 10:37:06|
1647|5016705|240|RJ003|56|2025-11-22 11:13:03|
3897|5611429|240|SNLU987192|22|2025-11-07 15:30:12|
1925|5700304|160|EGSU1257772|3|2025-11-28 11:04:02|
3471|5600799|160|TEMU6580030|3|2025-11-14 15:49:03|
3471|5600793|160|CAIU7089162|3|2025-11-14 15:49:02|
1925|5001388|160|EGHU9411392|3|2025-11-13 13:04:02|
3043|5603323|520|JBHU331816|22|2025-11-10 18:13:00|
1925|5700362|160|TCNU6527442|3|2025-11-21 13:25:02|
3471|5600861|160|EITU1357110|3|2025-11-14 16:09:03|
1647|5016705|240|S2015|56|2025-11-22 11:13:03|
1647|5006873|240|W82159|56|2025-11-01 09:27:01|
1647|5016705|240|PCG46|56|2025-11-22 11:13:03|
1925|5100827|160|TIIU4601370|3|2025-11-12 16:35:05|
1647|5006873|240|T6021|56|2025-11-01 09:27:01|
1647|5016705|240|RJ070|56|2025-11-22 11:13:03|
1647|5006933|240|S940|56|2025-11-10 10:37:06|
1647|5016705|240|HM82|56|2025-11-22 11:13:03|
3471|5600794|160|PCIU9012018|3|2025-11-14 15:50:01|
1647|5006873|240|63-3815|56|2025-11-01 09:27:01|
1647|5006873|240|MTZ6266|56|2025-11-01 09:27:01|
3471|5600736|160|CAAU7992057|3|2025-11-20 16:19:03|
3471|5600769|160|TGBU6900480|3|2025-11-19 16:47:04|
3043|5603323|520|JBHU316380|22|2025-11-10 18:13:00|
1925|5100831|160|EGSU1805686|3|2025-11-12 16:35:03|
1925|5100826|160|EGSU6311080|3|2025-11-12 16:35:01|
1647|5016705|240|RJ018|56|2025-11-22 11:13:03|
1647|5006873|240|S547|56|2025-11-01 09:27:01|
1647|5016705|240|H04733|56|2025-11-22 11:13:03|
1647|5006873|240|9027-2|56|2025-11-01 09:27:01|
1647|5017166|240|T7005|56|2025-11-27 16:22:03|
1647|5017166|240|553347|56|2025-11-27 16:22:03|
1647|5006933|240|528253|56|2025-11-10 10:37:06|
1647|5017166|240|H10197|56|2025-11-27 16:22:03|
1647|5006994|240|S330|56|2025-11-14 17:36:10|
1647|5016705|240|PTLZ210097|56|2025-11-22 11:13:03|
1647|5006873|240|RJ003|56|2025-11-01 09:27:01|
3471|5600740|160|WHSU5478560|3|2025-11-20 18:28:04|
3471|5600790|160|TIIU4627694|3|2025-11-19 18:29:02|
3471|5600946|160|EGSU9734212|3|2025-11-28 20:35:00|
1647|5006933|240|UTV700001|56|2025-11-10 10:37:06|
1925|5100823|160|TGBU4354775|3|2025-11-12 16:31:00|
1647|5016705|240|PCG04|56|2025-11-22 11:13:03|
1647|5006873|240|PCG32|56|2025-11-01 09:27:01|
1647|5016705|240|553352|56|2025-11-22 11:13:03|
1647|5006933|240|RJ084|56|2025-11-10 10:37:06|
3043|5603319|523|SNLU212215|22|2025-11-11 18:09:01|
3043|5603319|523|SNLU221868|22|2025-11-11 18:09:01|
1925|5100830|160|EGHU9413163|3|2025-11-12 16:35:03|
3043|5003653|523|SNLU200163|22|2025-11-28 16:50:03|
3471|5600949|160|EITU1568046|3|2025-11-27 18:39:02|
1647|5016705|240|H06060|56|2025-11-22 11:13:03|
1925|5700216|160|CAAU5198290|3|2025-11-12 18:20:01|
1925|5700315|160|TGBU9964493|3|2025-11-28 11:31:02|
3471|5600803|160|TLLU4297697|3|2025-11-19 18:35:03|
1925|5001387|160|EISU9449707|3|2025-11-13 11:32:02|
1647|5006994|240|PTLZ211561|56|2025-11-14 17:36:10|
1647|5006873|240|2345|56|2025-11-01 09:27:01|
1647|5016705|240|553374|56|2025-11-22 11:13:03|
1647|5006994|240|RJ121|56|2025-11-14 17:36:10|
1647|5017166|240|G001|56|2025-11-27 16:22:03|
3897|5611725|240|SNLU200163|22|2025-11-19 10:50:18|
3471|5600902|160|EISU8286170|3|2025-11-21 23:57:01|
3043|5603319|523|SNLU213835|22|2025-11-11 18:09:01|
1647|5006873|240|2342|56|2025-11-01 09:27:01|
1647|5016705|240|2343|56|2025-11-22 11:13:03|
1647|5006873|240|H15417|56|2025-11-01 09:27:01|
1647|5016705|240|W95898|56|2025-11-22 11:13:03|
1647|5006933|240|PCG13|56|2025-11-10 10:37:06|
1647|5006933|240|PTLZ244236|56|2025-11-10 10:37:06|
1925|5700212|160|CAAU5421001|3|2025-11-12 18:08:01|
1647|5006994|240|S1026|56|2025-11-14 17:36:10|
1647|5017166|240|H08494|56|2025-11-27 16:22:03|
1647|5016705|240|PCG40|56|2025-11-22 11:13:03|
1647|5006873|240|PCG47|56|2025-11-01 09:27:01|
1647|5006873|240|9051-2|56|2025-11-01 09:27:01|
1925|5700215|160|CAAU5198290|3|2025-11-12 18:20:01|
1925|5700331|160|EGHU9153092|3|2025-11-21 12:15:02|
1925|5700308|160|EGSU6109227|3|2025-11-28 11:14:03|
3471|5600789|160|TIIU5081170|3|2025-11-19 18:29:04|
1925|5700204|160|EGSU9770396|3|2025-11-13 10:37:02|
1647|5017166|240|2210|56|2025-11-27 16:22:03|
1647|5006873|240|294902|56|2025-11-01 09:27:01|
1647|5016705|240|RJ016|56|2025-11-22 11:13:03|
1925|5100861|160|TLLU5789726|3|2025-11-19 11:34:02|
1647|5006933|240|550185|56|2025-11-10 10:37:06|
1925|5100828|160|TIIU4601370|3|2025-11-12 16:35:04|
3471|5600783|160|TIIU6542868|3|2025-11-19 15:08:00|
1925|5700241|160|TXGU8181114|3|2025-11-13 11:22:02|
1647|5006873|240|T0043|56|2025-11-01 09:27:01|
1647|5016705|240|PTLZ210062|56|2025-11-22 11:13:03|
1647|5006873|240|UTV700008|56|2025-11-01 09:27:01|
1647|5017166|240|TXU7919|56|2025-11-27 16:22:03|
3043|5603323|520|JBHU243967|22|2025-11-10 18:13:00|
3043|5603319|523|SNLU202056|22|2025-11-11 18:09:01|
1925|5700327|160|BSIU9969199|3|2025-11-20 12:24:03|
3471|5600944|160|EGHU9299750|3|2025-11-27 19:08:01|
3043|5603321|523|SNLU997051|22|2025-11-10 18:13:01|
1925|5700209|160|EGHU9358493|3|2025-11-12 17:57:01|
1647|5006873|240|T0011|56|2025-11-01 09:27:01|
3471|5600768|160|EITU1780857|3|2025-11-19 16:47:03|
3471|5600736|160|WHSU6345860|3|2025-11-20 16:19:03|
1925|5700342|160|EITU9226559|3|2025-11-22 10:56:02|
3043|5003651|523|SNLU993383|22|2025-11-28 16:50:03|
3471|5600942|160|EGHU3883766|1|2025-11-27 18:24:03|
3471|5600949|160|EITU1751400|3|2025-11-27 18:39:02|
1925|5700330|160|EGHU9153092|3|2025-11-21 12:14:01|
1647|5006873|240|9102|56|2025-11-01 09:27:01|
3043|5603323|520|JBHU329341|22|2025-11-10 18:13:00|
1647|5006873|240|T0225|56|2025-11-01 09:27:01|
3043|5603322|520|JBHU272278|22|2025-11-10 18:03:00|
1925|5700278|160|EGHU9767790|3|2025-11-19 09:58:02|
1925|5100854|160|TRHU5227819|3|2025-11-19 11:25:05|
3043|5603321|523|SNLU196403|22|2025-11-10 18:13:01|
1647|5006873|240|53P1290|56|2025-11-01 09:27:01|
1647|5006873|240|W84697|56|2025-11-01 09:27:01|
1925|5100859|160|TGBU6964150|3|2025-11-19 11:28:06|
1647|5017166|240|HM97|56|2025-11-27 16:22:03|
1647|5006994|240|H09885|56|2025-11-14 17:36:10|
3043|5603322|520|JBHU348092|22|2025-11-10 18:03:00|
1647|5017166|240|RJ071|56|2025-11-27 16:22:03|
1647|5006933|240|ABV4128|56|2025-11-10 10:37:06|
1647|5006873|240|PCG28|56|2025-11-01 09:27:01|
1647|5006994|240|H14162|56|2025-11-14 17:36:10|
3043|5603323|520|JBHU281544|22|2025-11-10 18:13:00|
1647|5006933|240|UTV700015|56|2025-11-10 10:37:06|
1925|5100856|160|EGSU9281034|3|2025-11-19 11:27:03|
1925|5700361|160|GAOU6687092|3|2025-11-21 13:26:01|
3043|5603479|523|SNLU996691|22|2025-11-21 12:54:02|
1647|5016705|240|W82156|56|2025-11-22 11:13:03|
1647|5006873|240|W95934|56|2025-11-01 09:27:01|
1647|5016705|240|PCG03|56|2025-11-22 11:13:03|
1925|5700363|160|TCNU6527442|3|2025-11-21 13:21:03|
3043|5603479|523|SNLU993152|22|2025-11-21 12:54:02|
1647|5006994|240|PCG32|56|2025-11-14 17:36:10|
3471|5600951|160|EMCU8391906|3|2025-11-27 17:47:14|
1647|5006994|240|H15363|56|2025-11-14 17:36:10|
1925|5700364|160|TEMU6368192|3|2025-11-21 13:25:03|
3471|5600946|160|EGSU9462393|3|2025-11-28 20:35:00|
1647|5006994|240|PCG38|56|2025-11-14 17:36:10|
1647|5017166|240|S444|56|2025-11-27 16:22:03|
1925|5100828|160|FFAU5161470|3|2025-11-12 16:35:04|
1647|5006873|240|UTV700030|56|2025-11-01 09:27:01|
3043|5603322|520|JBHU316380|22|2025-11-10 18:03:00|
1647|5016705|240|601|56|2025-11-22 11:13:03|
1925|5001374|160|EITU9278531|3|2025-11-01 11:06:01|
1925|5700359|160|GAOU6318767|3|2025-11-21 11:54:06|
3471|5600795|160|PCIU8494390|3|2025-11-14 15:49:02|
1925|5700356|160|EITU9019063|3|2025-11-21 11:51:02|
1925|5001386|160|EITU9092017|3|2025-11-13 13:04:02|
1925|5100831|160|TIIU6529737|3|2025-11-12 16:35:03|
3043|5603393|523|SNLU144887|22|2025-11-11 18:15:01|
1647|5006933|240|PCG45|56|2025-11-10 10:37:06|
1925|5700205|160|BSIU9975078|3|2025-11-13 10:42:02|
1925|5700313|160|GCXU6444387|3|2025-11-28 11:33:01|
3043|5603322|520|JBHU331816|22|2025-11-10 18:03:00|
3043|5603321|523|SNLU196444|22|2025-11-10 18:13:01|
1925|5700353|160|DRYU2656937|1|2025-11-20 11:39:04|
1925|5700294|160|TCNU6628710|3|2025-11-26 18:00:10|
1647|5016705|240|614|56|2025-11-22 11:13:03|
1925|5700206|160|BSIU9975078|3|2025-11-13 10:47:04|
3471|5600740|160|WHSU6345860|3|2025-11-20 18:28:04|
3043|5603480|523|SNLU993152|22|2025-11-24 21:03:01|
1647|5006933|240|S364|56|2025-11-10 10:37:06|
3471|5600863|160|EMCU1820254|3|2025-11-14 16:10:03|
1925|5700355|160|EGHU8495362|3|2025-11-20 11:41:02|
1647|5016705|240|H09204|56|2025-11-22 11:13:03|
1647|5017166|240|B6041|56|2025-11-27 16:22:03|
3471|5600736|160|WHSU5240551|3|2025-11-20 16:19:03|
1647|5006873|240|UTV700017|56|2025-11-01 09:27:01|
1647|5006873|240|RJ014|56|2025-11-01 09:27:01|
1647|5006994|240|S139|56|2025-11-14 17:36:10|
3471|5600740|160|CAAU8021117|3|2025-11-20 18:28:04|
1647|5016705|240|T0110|56|2025-11-22 11:13:03|
3043|5603323|520|JBHU272278|22|2025-11-10 18:13:00|
3471|5600796|160|PIDU4038394|3|2025-11-14 17:16:03|
1647|5016705|240|S406|56|2025-11-22 11:13:03|
3471|5600740|160|WHSU6697250|3|2025-11-20 18:28:04|
1647|5016705|240|PCG21|56|2025-11-22 11:13:03|
1647|5006873|240|HM46|56|2025-11-01 09:27:01|
1647|5006933|240|2340|56|2025-11-10 10:37:06|
3471|5600736|160|WHSU6198836|3|2025-11-20 16:19:03|
3471|5600793|160|FSCU8191920|3|2025-11-14 15:49:02|
1647|5006994|240|PCG41|56|2025-11-14 17:36:10|
1925|5700217|160|EITU9400399|3|2025-11-13 09:58:01|
3471|5600736|160|WHSU5043470|3|2025-11-20 16:19:03|
1925|5100824|160|TGBU4354775|3|2025-11-12 16:35:04|
3471|5600866|160|TCNU2158808|3|2025-11-14 16:09:02|
1925|5001428|160|EMCU8200173|3|2025-11-19 12:00:03|
1647|5016705|240|RJ067|56|2025-11-22 11:13:03|
1925|5700303|160|EGSU1257772|3|2025-11-28 10:59:01|
3471|5600858|160|CAAU5873418|3|2025-11-14 17:16:03|
1925|5700228|160|EMCU1796728|3|2025-11-13 09:35:05|
3897|5611854|240|SNLU196444|22|2025-11-21 11:50:17|
1647|5006873|240|9001-2|56|2025-11-01 09:27:01|
1647|5006994|240|H14163|56|2025-11-14 17:36:10|
1647|5006933|240|UTV700006|56|2025-11-10 10:37:06|
1647|5006933|240|S259|56|2025-11-10 10:37:06|
3043|5003577|523|SNLU987192|22|2025-11-19 18:13:01|
1647|5017166|240|553376|56|2025-11-27 16:22:03|
3471|5600903|160|EMCU8832600|3|2025-11-21 23:57:01|
3471|5600736|160|WHSU6887590|3|2025-11-20 16:19:03|
1925|5700240|160|EGSU1395914|3|2025-11-13 11:24:02|
1925|5700225|160|EITU1672087|3|2025-11-12 18:30:04|
3897|5611730|240|SNLU993383|22|2025-11-19 10:50:23|
1647|5016705|240|PTLZ2244031|56|2025-11-22 11:13:03|
1647|5016705|240|PTLZ250191|56|2025-11-22 11:13:03|
3043|5603392|523|SNLU144887|22|2025-11-18 18:43:01|
3471|5600945|160|EGSU1134335|3|2025-11-27 18:24:02|
1925|5001424|160|EGHU8481841|3|2025-11-19 12:00:02|
1647|5017166|240|9025-2|56|2025-11-27 16:22:03|
1925|5100832|160|EGSU1805686|3|2025-11-12 16:40:01|
1647|5006873|240|RRR081|56|2025-11-01 09:27:01|
1647|5017166|240|S555|56|2025-11-27 16:22:03|
1925|5700226|160|EITU1672087|3|2025-11-12 18:32:01|
1647|5017166|240|G028|56|2025-11-27 16:22:03|
1647|5006994|240|H14510|56|2025-11-14 17:36:10|
3471|5600861|160|EITU1605875|3|2025-11-14 16:09:03|
1647|5017166|240|HM62|56|2025-11-27 16:22:03|
1647|5016705|240|PTLZ250554|56|2025-11-22 11:13:03|
3471|5600768|160|TGBU6900480|3|2025-11-19 16:47:03|
3471|5600733|160|WHSU6327390|3|2025-11-20 21:45:02|
1647|5016705|240|PCG31|56|2025-11-22 11:13:03|
1647|5017166|240|PTLZ251348|56|2025-11-27 16:22:03|
1925|5001390|160|TCNU2280605|3|2025-11-13 13:04:03|
1647|5017166|240|S856|56|2025-11-27 16:22:03|
1647|5017166|240|S285|56|2025-11-27 16:22:03|
1647|5016705|240|HM41|56|2025-11-22 11:13:03|
3471|5600799|160|PCIU8932937|3|2025-11-14 15:49:03|
1647|5017166|240|TXU7929|56|2025-11-27 16:22:03|
1647|5016705|240|G025|56|2025-11-22 11:13:03|
1647|5017166|240|H07686|56|2025-11-27 16:22:03|
3471|5600736|160|CAAU8021117|3|2025-11-20 16:19:03|
3043|5603231|523|SNLU144699|22|2025-11-03 18:32:01|
1647|5017166|240|TXU7909|56|2025-11-27 16:22:03|
1647|5016705|240|2344|56|2025-11-22 11:13:03|
3471|5600944|160|EGSU1134335|3|2025-11-27 19:08:01|
1647|5016705|240|PCG14|56|2025-11-22 11:13:03|
1647|5016705|240|T0115|56|2025-11-22 11:13:03|
1647|5017166|240|2213|56|2025-11-27 16:22:03|
1925|5100860|160|TLLU5789726|3|2025-11-19 11:28:07|
3043|5003411|523|SNLU141421|22|2025-11-04 16:55:01|
3471|5600740|160|CAAU7992057|3|2025-11-20 18:28:04|
3471|5600746|160|EGHU9661489|3|2025-11-20 21:45:01|
1647|5016705|240|PTLZ251349|56|2025-11-22 11:13:03|
1925|5700335|160|EGHU9477492|3|2025-11-21 12:21:01|
1925|5100855|160|TRHU5227819|3|2025-11-19 11:25:05|
1647|5017166|240|G004|56|2025-11-27 16:22:03|
3043|5603391|523|SNLU138670|22|2025-11-11 18:12:02|
1647|5006873|240|W95900|56|2025-11-01 09:27:01|
1647|5017166|240|H14162|56|2025-11-27 16:22:03|
1925|5100858|160|TCNU2080320|3|2025-11-19 11:48:01|
3471|5600895|160|EITU1357110|3|2025-11-15 11:53:02|
1925|5001392|160|GAOU7294628|3|2025-11-13 13:04:03|
1647|5016705|240|RJ085|56|2025-11-22 11:13:03|
3471|5600740|160|WHSU6327390|3|2025-11-20 18:28:04|
1647|5016705|240|W82915|56|2025-11-22 11:13:03|
3471|5600764|160|BSIU9968187|3|2025-11-19 19:00:03|
1647|5017166|240|PCG35|56|2025-11-27 16:22:03|
1647|5016705|240|S449|56|2025-11-22 11:13:03|
1647|5006873|240|649|56|2025-11-01 09:27:01|
3043|5603392|523|SNLU200073|22|2025-11-18 18:43:01|
3471|5600791|160|TLLU4297697|3|2025-11-19 18:35:03|
1647|5006933|240|703|56|2025-11-10 10:37:06|
3471|5600736|160|WHSU6502960|3|2025-11-20 16:19:03|
3471|5600780|160|FFAU1109940|3|2025-11-19 19:29:03|
3471|5600740|160|WHSU6198836|3|2025-11-20 18:28:04|
1925|5700309|160|EITU1366678|3|2025-11-28 11:14:04|
1647|5017166|240|RJ117|56|2025-11-27 16:22:03|
1925|5700340|160|EITU1619164|3|2025-11-22 10:52:02|
1925|5700301|160|CAAU5722983|3|2025-11-28 10:52:03|
1647|5017166|240|G015|56|2025-11-27 16:22:03|
1925|5700339|160|EITU1456447|3|2025-11-22 10:51:00|
1925|5700307|160|EGSU6109227|3|2025-11-28 11:14:02|
1647|5006933|240|W95903|56|2025-11-10 10:37:06|
1925|5700283|160|TXGU6695449|3|2025-11-19 10:05:03|
1647|5006873|240|G017|56|2025-11-01 09:27:01|
1647|5006994|240|T0206|56|2025-11-14 17:36:10|
1925|5001427|160|EGSU9146081|3|2025-11-19 12:00:05|
1647|5017166|240|RJ130|56|2025-11-27 16:22:03|
1925|5700233|160|EMCU8753923|3|2025-11-13 10:43:02|
1925|5700298|160|FFAU1115476|3|2025-11-27 10:17:00|
1647|5016705|240|H06225|56|2025-11-22 11:13:03|
1647|5016705|240|PCG08|56|2025-11-22 11:13:03|
1925|5700365|160|TEMU6368192|3|2025-11-21 13:40:02|
1647|5016705|240|S490|56|2025-11-22 11:13:03|
1647|5016705|240|PTLZ210145|56|2025-11-22 11:13:03|
1647|5016705|240|RJ063|56|2025-11-22 11:13:03|
1647|5016705|240|RJ112|56|2025-11-22 11:13:03|
3471|5600864|160|GAOU6933426|3|2025-11-14 16:48:03|
1647|5016705|240|S332|56|2025-11-22 11:13:03|
1647|5016705|240|T0021|56|2025-11-22 11:13:03|
3043|5603231|523|SNLU141549|22|2025-11-03 18:32:01|
1647|5006994|240|PTLZ244299|56|2025-11-14 17:36:10|
1647|5006994|240|W84697|56|2025-11-14 17:36:10|
1647|5006994|240|LT1009|56|2025-11-14 17:36:10|
3043|5603395|520|JBHU254434|22|2025-11-11 18:09:01|
3043|5603231|523|SNLU151944|22|2025-11-03 18:32:01|
1647|5006994|240|RJ050|56|2025-11-14 17:36:10|
1647|5017166|240|TXU7933|56|2025-11-27 16:22:03|
3043|5603321|523|SNLU213835|22|2025-11-10 18:13:01|
1925|5700328|160|DRYU9792679|3|2025-11-20 12:26:03|
1647|5017166|240|2207|56|2025-11-27 16:22:03|
1647|5017166|240|B7034|56|2025-11-27 16:22:03|
1925|5700242|160|TXGU8181114|3|2025-11-13 11:23:02|
1647|5017166|240|HX16|56|2025-11-27 16:22:03|
1647|5016705|240|2342|56|2025-11-22 11:13:03|
1647|5016705|240|G015|56|2025-11-22 11:13:03|
3471|5600865|160|GAOU6933426|3|2025-11-14 16:48:02|
3043|5603393|523|SNLU200073|22|2025-11-11 18:15:01|
1647|5016705|240|H14163|56|2025-11-22 11:13:03|
1647|5016705|240|T0175|56|2025-11-22 11:13:03|
1925|5700320|160|TXGU5549223|3|2025-11-28 11:22:01|
1647|5017166|240|RJ045|56|2025-11-27 16:22:03|
1925|5700281|160|EGSU1288109|3|2025-11-19 10:04:02|
3471|5600866|160|TIIU6900473|3|2025-11-14 16:09:02|
1647|5017166|240|H09830|56|2025-11-27 16:22:03|
1647|5006873|240|D3051|56|2025-11-01 09:27:01|
1925|5001424|160|TCNU3133091|3|2025-11-19 12:00:02|
1925|5001428|160|EGSU9146081|3|2025-11-19 12:00:03|
1925|5700235|160|TCNU7766966|3|2025-11-13 10:48:03|
1647|5017166|240|9048-2|56|2025-11-27 16:22:03|
1925|5700287|160|EGSU9393420|3|2025-11-26 17:43:03|
3043|5603481|520|JBHU303398|22|2025-11-20 18:47:01|
1647|5017166|240|HM76|56|2025-11-27 16:22:03|
3043|5603231|523|SNLU137929|22|2025-11-03 18:32:01|
1647|5016705|240|2203|56|2025-11-22 11:13:03|
3043|5003554|523|SNLU987138|22|2025-11-14 15:08:03|
3043|5603231|523|SNLU987138|22|2025-11-03 18:32:01|
1647|5006933|240|HM58|56|2025-11-10 10:37:06|
1647|5016705|240|G002|56|2025-11-22 11:13:03|
1925|5700369|160|TIIU5121437|3|2025-11-21 18:50:03|
1647|5017166|240|PTLZ202465|56|2025-11-27 16:22:03|
1925|5700276|160|TRHU5640885|3|2025-11-19 09:52:01|
1647|5016705|240|H09899|56|2025-11-22 11:13:03|
1647|5016705|240|PCG25|56|2025-11-22 11:13:03|
1925|5001389|160|MAGU5389712|3|2025-11-13 11:32:02|
1925|5001393|160|TXGU7760240|3|2025-11-13 11:32:03|
3043|5003652|523|SNLU158212|22|2025-11-28 16:50:02|
1647|5006933|240|H10161|56|2025-11-10 10:37:06|
1647|5017166|240|H04929|56|2025-11-27 16:22:03|
1647|5017166|240|TXU7908|56|2025-11-27 16:22:03|
3471|5600895|160|EITU1605875|3|2025-11-15 11:53:02|
3471|5600860|160|EITU1357110|3|2025-11-14 16:30:07|
3043|5603319|523|SNLU992831|22|2025-11-11 18:09:01|
1647|5017166|240|9018-2|56|2025-11-27 16:22:03|
3471|5600785|160|EGHU9521390|3|2025-11-19 19:35:02|
1647|5017166|240|S329|56|2025-11-27 16:22:03|
1647|5006873|240|RJ113|56|2025-11-01 09:27:01|
1647|5006873|240|UTV700027|56|2025-11-01 09:27:01|
1647|5017166|240|RJ044|56|2025-11-27 16:22:03|
3043|5603320|523|SNLU992831|22|2025-11-10 18:13:01|
1647|5006873|240|HM38|56|2025-11-01 09:27:01|
1647|5017166|240|HM70|56|2025-11-27 16:22:03|
1925|5100830|160|EGHU9202448|3|2025-11-12 16:35:03|
1647|5006873|240|HX09|56|2025-11-01 09:27:01|
1647|5017166|240|G033|56|2025-11-27 16:22:03|
3043|5603320|523|SNLU200384|22|2025-11-10 18:13:01|
3043|5603320|523|SNLU200163|22|2025-11-10 18:13:01|
1925|5700316|160|TGBU9964493|3|2025-11-28 11:26:01|
1925|5700271|160|EMCU1629361|3|2025-11-19 09:42:02|
1925|5001391|160|EITU1858298|3|2025-11-13 11:32:03|
1647|5017166|240|636|56|2025-11-27 16:22:03|
3471|5600945|160|EGHU9299750|3|2025-11-27 18:24:02|
1647|5017166|240|W91903|56|2025-11-27 16:22:03|
1647|5017166|240|X1040|56|2025-11-27 16:22:03|
1647|5006994|240|RJ111|56|2025-11-14 17:36:10|
1925|5700338|160|EITU1456447|3|2025-11-22 10:50:02|
3043|5603480|523|SNLU996691|22|2025-11-24 21:03:01|
3043|5603320|523|SNLU196444|22|2025-11-10 18:13:01|
3043|5603391|523|SNLU144509|22|2025-11-11 18:12:02|
1647|5016705|240|S472|56|2025-11-22 11:13:03|
1647|5017166|240|T0125|56|2025-11-27 16:22:03|
3471|5600754|160|FCIU9804972|3|2025-11-19 15:03:05|
1647|5017166|240|SS106250|56|2025-11-27 16:22:03|
3043|5603319|523|SNLU996678|22|2025-11-11 18:09:01|
