Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1925|5001423|160|2025-10-21|COVE257THV4Q7|CIF|USD|23728.51|23728.51|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 12:01:02|
3471|5600794|160|2025-10-21|COVE257TEIJR8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 15:50:01|
1925|5700210|160|2025-10-10|COVE257TBGYM4|CIF|USD|67890.08|67890.08|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 17:57:01|
3471|5600864|160|2025-10-09|COVE257TOMRV7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 16:48:03|
3577|5102319|521|2025-10-27|COVE257T5K4B2|DAP|USD|2432.52|2432.52|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-03 11:59:01|
1925|5700230|160|2025-10-10|COVE257TF9BP7|CIF|USD|18540.60|18540.60|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 09:40:03|
1925|5700216|160|2025-10-10|COVE257TDU6G1|CIF|USD|47526.14|47526.14|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-12 18:20:01|
1925|5001389|160|2025-10-08|COVE257SE2PU3|CIF|USD|524.87|524.87|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 11:32:02|
1925|5700331|160|2025-10-17|COVE257TXON38|CIF|USD|31538.04|31538.04|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-21 12:15:02|
3471|5600797|160|2025-10-21|COVE257TEUEY3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 17:05:02|
3471|5600767|160|2025-10-20|COVE257U1TV28|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-21 15:26:02|
3471|5600789|160|2025-10-16|COVE257U40903|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 18:29:04|
3043|5003411|523|2025-10-22|COVE257T9RJB4|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-04 16:55:01|
1925|5700232|160|2025-10-10|COVE257TF4I63|CIF|USD|17293.48|17293.48|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-13 09:50:05|
