Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3471|5600766|160|39199099|8|3|5HYV-190006-6000|2025-11-19 18:35:03|
1647|5006933|240|87032199|3|206|380Y-3 SH040393|2025-11-10 10:37:06|
3471|5600764|160|39269099|26|3|6GU#-150001-6000-M1|2025-11-19 19:00:03|
1647|5017166|240|87032199|1|53|380Y-3 SJ050135|2025-11-27 16:22:03|
3471|5600946|160|98020019|227|2|FRACCION ORIGINAL 3919909900|2025-11-28 20:35:00|
3471|5600796|160|87082919|22|1|25CFTT405375-6|2025-11-14 17:16:03|
1647|5006933|240|87032199|2|61|380Y-3 SH160150|2025-11-10 10:37:06|
3471|5600792|160|87082999|160|3|5HYV-101001-6000|2025-11-14 17:05:01|
3471|5600866|160|87082999|78|2|No.Parte|2025-11-14 16:09:02|
1647|5006933|240|87032199|2|13|380Y-3 SH160041|2025-11-10 10:37:06|
3471|5600796|160|87082999|32|3|5HYV-030510-6000-H1M|2025-11-14 17:16:03|
3471|5600946|160|85364199|40|2|No.Parte|2025-11-28 20:35:00|
3471|5600946|160|87088005|115|2|No.Parte|2025-11-28 20:35:00|
3471|5600764|160|39174001|8|1|25CFTT405370-1|2025-11-19 19:00:03|
1647|5006933|240|87032199|3|158|380Y-3 SH290105|2025-11-10 10:37:06|
3471|5600766|160|39199099|12|3|5HYV-190015-4100|2025-11-19 18:35:03|
3471|5600789|160|87082999|150|2|No.Parte|2025-11-19 18:29:04|
1647|5006933|240|87032199|2|69|380Y-3 SH160017|2025-11-10 10:37:06|
3471|5600782|160|39199099|12|1|25CFTT405338-7|2025-11-19 15:41:01|
1647|5017166|240|87032199|1|5|PARTE NO. U26BWABBMUSEH, U26BWABRTUSEH|2025-11-27 16:22:03|
3471|5600952|160|98020019|21|2|No.Parte|2025-11-27 17:41:05|
3471|5600796|160|87082999|60|3|5HYV-041041-6001-0BM00|2025-11-14 17:16:03|
1647|5006933|240|87032199|1|1|ORDEN No. 1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,1,2,3,4,5,6,|2025-11-10 10:37:06|
3471|5600792|160|94012001|220|3|5HYV-131200-6001-22|2025-11-14 17:05:01|
1925|5100827|160|73181599|5|1|No. De parte: 30006-102080110|2025-11-12 16:35:05|
1647|5006933|240|87032199|2|73|380Y-3 SH160087|2025-11-10 10:37:06|
3471|5600796|160|87082999|94|3|5SYV-230680-8000-H1M|2025-11-14 17:16:03|
3471|5600946|160|87082999|55|1|25CFTT405952-4|2025-11-28 20:35:00|
1647|5017166|240|87032199|1|157|380Y-3 SH290118|2025-11-27 16:22:03|
1925|5700271|160|85269299|30|1|No. De parte: 5HYV-010230-6000|2025-11-19 09:42:02|
1647|5006933|240|87032199|2|38|380Y-3 SH160025|2025-11-10 10:37:06|
3471|5600766|160|73181599|73|3|30006-102075810|2025-11-19 18:35:03|
3471|5600766|160|73181599|56|2|No.Parte|2025-11-19 18:35:03|
1647|5006933|240|87032199|3|92|380Y-3 SH040389|2025-11-10 10:37:06|
3471|5600789|160|85389001|122|1|25CFTT405309-4|2025-11-19 18:29:04|
1647|5017166|240|87032199|1|57|380Y-3 SJ050124|2025-11-27 16:22:03|
3471|5600952|160|87082999|3|3|5HYV-031047-6000-H1M|2025-11-27 17:41:05|
1925|5001394|160|82060001|164|1|No. De parte: 5HYV-200100-4100|2025-11-13 11:32:07|
1647|5006933|240|87032199|1|49|380Y-3 SH160255|2025-11-10 10:37:06|
3471|5600792|160|87088005|175|2|No.Parte|2025-11-14 17:05:01|
1925|5700242|160|94019999|59|1|No. De parte: 5HYV-135000-4500-22|2025-11-13 11:23:02|
1647|5006933|240|87032199|2|58|380Y-3 SH160076|2025-11-10 10:37:06|
1925|5700218|160|73269099|46|1|No. De parte: 5ASV-000105-6000|2025-11-13 10:05:03|
3471|5600942|160|87082999|5|3|5HYV-032190-6000-H1M|2025-11-27 18:24:03|
3471|5600946|160|87089999|134|1|25CFTT405952-5|2025-11-28 20:35:00|
1925|5700271|160|39269099|102|1|No. De parte: 5SYV-046011-8300|2025-11-19 09:42:02|
1647|5006933|240|87032199|2|21|380Y-3 SH160088|2025-11-10 10:37:06|
3471|5600766|160|40169999|44|3|5HYV-190026-6000|2025-11-19 18:35:03|
3471|5600766|160|39199099|22|2|No.Parte|2025-11-19 18:35:03|
1647|5006933|240|87032199|2|80|380Y-3 SH160163|2025-11-10 10:37:06|
3471|5600782|160|94019999|154|3|5HYV-131200-6000-20|2025-11-19 15:41:01|
3471|5600946|160|98020019|159|3|NO.PARTE|2025-11-28 20:35:00|
3471|5600952|160|87082999|10|2|No.Parte|2025-11-27 17:41:05|
3471|5600796|160|87082999|45|1|25CFTT405375-5|2025-11-14 17:16:03|
1647|5006933|240|87032199|3|228|380Y-3 SH070033|2025-11-10 10:37:06|
3471|5600798|160|39269099|31|3|5HYV-188004-6000|2025-11-14 16:30:06|
1925|5700242|160|87082999|7|1|No. De parte: 5HYV-031031-6000-H1M|2025-11-13 11:23:02|
1647|5006933|240|87032199|3|247|380Y-3 SH190260|2025-11-10 10:37:06|
3471|5600862|160|85365099|168|1|25CFTT405303-5|2025-11-14 16:48:01|
3471|5600952|160|87082999|19|3|5SYV-032010-8001-H1M|2025-11-27 17:41:05|
1647|5017166|240|87032199|1|105|380Y-3 SH290044|2025-11-27 16:22:03|
3043|5603392|523|87032199|1|3|LCELE1ZG3TM001029 380Y-3 SG220392|2025-11-18 18:43:01|
1647|5006933|240|87032199|2|97|380Y-3 SH040379|2025-11-10 10:37:06|
3471|5600770|160|87082999|42|3|5HYV-032040-6000-H1M|2025-11-19 18:29:05|
3471|5600766|160|87089999|221|2|No.Parte|2025-11-19 18:35:03|
1647|5006933|240|87032199|3|139|380Y-3 SJ020087|2025-11-10 10:37:06|
3471|5600782|160|87083011|118|1|25CFTT405338-7|2025-11-19 15:41:01|
1647|5017166|240|87032199|1|109|380Y-3 SH290014|2025-11-27 16:22:03|
3471|5600946|160|87082999|67|1|25CFTT405952-4|2025-11-28 20:35:00|
3471|5600796|160|87082999|73|1|25CFTT405375-5|2025-11-14 17:16:03|
1647|5006933|240|87032199|3|127|380Y-3 SH190264|2025-11-10 10:37:06|
3471|5600792|160|87089412|189|1|25CFTT405375|2025-11-14 17:05:01|
1925|5700230|160|87082999|18|1|No. De parte: 5HYV-032230-6000-H1M|2025-11-13 09:40:03|
1647|5006933|240|87032199|2|70|380Y-3 SH160011|2025-11-10 10:37:06|
3471|5600796|160|87082999|81|1|25CFTT405375-5|2025-11-14 17:16:03|
1925|5700351|160|87082999|5|1|No. De parte: 5HYV-030530-6000-H1M|2025-11-28 14:22:01|
3471|5600946|160|98020019|199|4|30903-0322210|2025-11-28 20:35:00|
3471|5600782|160|87082919|103|2|No.Parte|2025-11-19 15:41:01|
1647|5006933|240|87032199|3|145|380Y-3 SH190271|2025-11-10 10:37:06|
3471|5600766|160|87082999|182|3|5HYV-221070-6000-H1M|2025-11-19 18:35:03|
3471|5600766|160|87088007|212|1|25CFTT405370-3|2025-11-19 18:35:03|
1647|5006933|240|87032199|3|70|380Y-3 SH040278|2025-11-10 10:37:06|
3471|5600782|160|85371099|92|1|25CFTT405338-6|2025-11-19 15:41:01|
1647|5017166|240|87032199|1|153|380Y-3 SH280006|2025-11-27 16:22:03|
3471|5600946|160|87082999|54|3|5HYV-030220-6000-H1M|2025-11-28 20:35:00|
1925|5700218|160|85182202|116|1|No. De parte: 5HYV-155200-6000-M1|2025-11-13 10:05:03|
1647|5006933|240|87032199|2|22|380Y-3 SH160037|2025-11-10 10:37:06|
3471|5600792|160|87082999|168|3|5SYV-260216-8300|2025-11-14 17:05:01|
1925|5100827|160|73269099|9|1|No. De parte: 30604-301300|2025-11-12 16:35:05|
1647|5006933|240|87032199|1|23|380Y-3 SG220370|2025-11-10 10:37:06|
1925|5700200|160|87082201|55|1|No. De parte: 5HYV-230630-6000-H1|2025-11-13 10:25:05|
3471|5600946|160|87082999|72|1|25CFTT405952-5|2025-11-28 20:35:00|
3471|5600946|160|98020019|172|3|NO.PARTE|2025-11-28 20:35:00|
3471|5600782|160|39199099|7|2|No.Parte|2025-11-19 15:41:01|
1647|5006933|240|87032199|3|226|380Y-3 SH040218|2025-11-10 10:37:06|
3471|5600766|160|87089999|236|1|25CFTT405370-3|2025-11-19 18:35:03|
3471|5600768|160|85122099|23|2|No.Parte|2025-11-19 16:47:03|
1647|5006933|240|87032199|2|17|380Y-3 SH160073|2025-11-10 10:37:06|
3471|5600782|160|39191001|1|1|25CFTT405338-7|2025-11-19 15:41:01|
3471|5600946|160|98020019|211|4|5HYV-046006-9000|2025-11-28 20:35:00|
3471|5600946|160|87082999|82|3|5HYV-221080-6000-H1M|2025-11-28 20:35:00|
3471|5600864|160|87089999|101|1|25CFTT405303-7|2025-11-14 16:48:03|
1647|5006933|240|87032199|2|10|380Y-3 SH160068|2025-11-10 10:37:06|
3471|5600860|160|40169901|17|3|0180-015003|2025-11-14 16:30:07|
3471|5600792|160|87089199|185|1|25CFTT405375-1|2025-11-14 17:05:01|
1647|5006933|240|87032199|3|2|ORDEN No. 5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,|2025-11-10 10:37:06|
3471|5600862|160|73262006|133|2|No.Parte|2025-11-14 16:48:01|
3471|5600946|160|98020019|208|2|FRACCION ORIGINAL 3919909900|2025-11-28 20:35:00|
1925|5700320|160|87082999|65|1|No. De parte: 5HYV-235020-6000-H1M|2025-11-28 11:22:01|
3471|5600780|160|87089999|72|3|5HYV-030100-6000|2025-11-19 19:29:03|
1647|5006933|240|87032199|3|140|380Y-3 SH220041|2025-11-10 10:37:06|
3471|5600768|160|40093106|10|2|No.Parte|2025-11-19 16:47:03|
3471|5600768|160|87082999|57|1|25CFTT405370-5|2025-11-19 16:47:03|
1647|5006933|240|87032199|3|178|380Y-3 SH040391|2025-11-10 10:37:06|
3471|5600782|160|73181599|47|2|No.Parte|2025-11-19 15:41:01|
1925|5700297|160|87082999|5|1|No. De parte: 5HY0-030410|2025-11-27 13:25:01|
3471|5600944|160|94019999|185|2|No.Parte|2025-11-27 19:08:01|
1925|5700218|160|85122099|196|1|No. De parte: 9AWV-160111-8002|2025-11-13 10:05:03|
1647|5006933|240|87032199|1|48|380Y-3 SG240225|2025-11-10 10:37:06|
1925|5700200|160|87082999|67|1|No. De parte: 5HYV-237010-6000-H1M|2025-11-13 10:25:05|
3471|5600798|160|73181599|68|2|No.Parte|2025-11-14 16:30:06|
1647|5006933|240|87032199|1|14|380Y-3 SH160210|2025-11-10 10:37:06|
1925|5700204|160|87088099|38|1|No. De parte: 5HYV-050610-6000|2025-11-13 10:37:02|
3471|5600944|160|98020019|225|2|No.Parte|2025-11-27 19:08:01|
1647|5017166|240|87032199|1|135|380Y-3 SH290047|2025-11-27 16:22:03|
3471|5600782|160|84213199|76|4|0NYV-112000-3000|2025-11-19 15:41:01|
1647|5006933|240|87032199|3|199|380Y-3 SH220114|2025-11-10 10:37:06|
3471|5600768|160|85122002|22|2|No.Parte|2025-11-19 16:47:03|
1925|5100854|160|87082919|84|1|No. De parte: 5HYV-807100-9001-0BM00|2025-11-19 11:25:05|
1647|5006933|240|87032199|1|19|380Y-3 SG240227|2025-11-10 10:37:06|
1925|5100854|160|87089904|185|1|No. De parte: 5HYV-120100-6000A|2025-11-19 11:25:05|
1647|5017166|240|87032199|1|91|380Y-3 SJ050116|2025-11-27 16:22:03|
3471|5600946|160|98020019|241|4|5SYV-190010-1900-11|2025-11-28 20:35:00|
1925|5001394|160|73181599|202|1|No. De parte: 6WWV-046702-5000|2025-11-13 11:32:07|
1647|5006933|240|87032199|3|235|380Y-3 SH040273|2025-11-10 10:37:06|
3471|5600798|160|39269099|33|3|5SYV-046012-8300|2025-11-14 16:30:06|
3577|5102368|521|87089203|32|1|10NO. DE PARTE : 5HYV-021200-6003  FACTURA: 25CFTTP6974|2025-11-13 19:27:00|
1647|5006933|240|87032199|3|19|380Y-3 SH190279|2025-11-10 10:37:06|
3471|5600862|160|85122099|161|2|No.Parte|2025-11-14 16:48:01|
3471|5600946|160|98020019|164|2|FRACCION ORIGINAL 7318159903|2025-11-28 20:35:00|
1647|5017166|240|87032199|1|83|380Y-3 SH290228|2025-11-27 16:22:03|
1925|5100854|160|90262003|291|1|No. De parte: TFQ002|2025-11-19 11:25:05|
1647|5006933|240|87032199|3|74|380Y-3 SH190248|2025-11-10 10:37:06|
1925|5100854|160|39199099|37|1|No. De parte: 5HYV-046004-9000|2025-11-19 11:25:05|
3471|5600789|160|73181599|45|3|30006-102075810|2025-11-19 18:29:04|
1647|5006933|240|87032199|3|122|380Y-3 SH040264|2025-11-10 10:37:06|
1925|5700271|160|87089203|35|1|No. De parte: 5HYV-021200-6003|2025-11-19 09:42:02|
1647|5017166|240|87032199|1|139|380Y-3 SJ020005|2025-11-27 16:22:03|
3471|5600946|160|98020019|179|2|FRACCION ORIGINAL 7318140100|2025-11-28 20:35:00|
3471|5600860|160|73269099|32|3|5HY0-223036|2025-11-14 16:30:07|
1647|5006933|240|87032199|1|43|380Y-3 SG220511|2025-11-10 10:37:06|
3471|5600860|160|40169999|21|2|No.Parte|2025-11-14 16:30:07|
3471|5600860|160|84818022|36|1|25CFTT405303-2|2025-11-14 16:30:07|
1647|5006933|240|87032199|1|17|380Y-3 SG220433|2025-11-10 10:37:06|
3471|5600862|160|87082999|194|3|5HYV-032020-6001-H1M|2025-11-14 16:48:01|
1925|5700293|160|73181599|28|1|No. De parte: 5HYV-135000-4500-25|2025-11-27 10:15:02|
3471|5600946|160|98020019|152|4|30006-080016810|2025-11-28 20:35:00|
1925|5100854|160|87088005|82|1|No. De parte: 5HYV-450160-6000|2025-11-19 11:25:05|
1647|5006933|240|87032199|3|130|380Y-3 SH280032|2025-11-10 10:37:06|
3471|5600789|160|73181599|31|1|25CFTT405309-4|2025-11-19 18:29:04|
3471|5600789|160|49019991|13|3|5SYV-380101-1500-13|2025-11-19 18:29:04|
1647|5006933|240|87032199|1|67|380Y-3 SG110021|2025-11-10 10:37:06|
3471|5600789|160|87082101|126|2|No.Parte|2025-11-19 18:29:04|
3471|5600946|160|87089999|133|3|5HYV-182420-6001|2025-11-28 20:35:00|
3471|5600950|160|98020019|135|3|NO.PARTE|2025-11-27 18:19:02|
3471|5600862|160|39191001|6|2|No.Parte|2025-11-14 16:48:01|
1647|5006933|240|87032199|1|65|380Y-3 SF220550|2025-11-10 10:37:06|
3471|5600858|160|87082999|42|1|25CFTT405303|2025-11-14 17:16:03|
3471|5600794|160|87089999|112|3|5HYV-082100-6000|2025-11-14 15:50:01|
1647|5006933|240|87032199|1|36|380Y-3 SH190082|2025-11-10 10:37:06|
3471|5600862|160|39269099|29|1|25CFTT405303-5|2025-11-14 16:48:01|
3471|5600946|160|98020019|193|2|FRACCION ORIGINAL 7318229199|2025-11-28 20:35:00|
3471|5600946|160|87089203|124|2|No.Parte|2025-11-28 20:35:00|
3043|5603392|523|87032199|1|19|LCELE1ZG4TM000679 380Y-3 SG220533|2025-11-18 18:43:01|
1647|5006933|240|87032199|3|232|380Y-3 SH290165|2025-11-10 10:37:06|
3471|5600780|160|87082999|52|1|25CFTT405338-5|2025-11-19 19:29:03|
3471|5600789|160|39269099|4|2|No.Parte|2025-11-19 18:29:04|
