Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaSeleccion|HoraSeleccion|SemaforoFiscal|ClaveDocumento|TipoOperacion
3897|5611730|240|0|1|2025-11-23|07:48|1|T3|1|
3471|5600792|160|0|1|2025-11-19|17:57|0|IN|1|
3577|5102464|521|0|1|2025-11-27|18:53|1|AF|1|
3043|5603482|520|2|1|2025-11-10|13:49|1|RT|2|
1925|5700156|160|0|1|2025-11-03|08:07|1|IN|1|
1925|5700233|160|0|1|2025-11-15|10:54|0|A1|1|
1647|5006933|240|83|1|2025-11-02|14:30|1|RT|2|
1647|5006994|240|15|1|2025-11-06|16:13|1|RT|2|
1925|5100791|160|0|1|2025-11-03|11:53|1|IN|1|
3471|5600739|160|0|1|2025-11-26|07:48|0|A1|1|
1925|5700212|160|0|1|2025-11-14|19:34|1|IN|1|
1925|5100795|160|0|1|2025-11-03|09:56|1|IN|1|
1925|5100797|160|0|1|2025-11-03|09:03|1|IN|1|
1647|5017166|240|44|1|2025-11-22|13:13|1|RT|2|
1925|5700329|160|0|1|2025-11-21|19:20|1|IN|1|
3471|5600862|160|0|1|2025-11-19|17:52|1|IN|1|
3471|5600740|160|4|1|2025-11-25|18:39|1|A1|1|
1925|5700280|160|0|1|2025-11-20|14:34|1|A1|1|
3471|5600799|160|0|1|2025-11-19|16:43|1|A1|1|
1925|5700216|160|0|1|2025-11-14|19:59|1|IN|1|
1647|5016705|240|14|1|2025-11-12|07:23|1|RT|2|
1925|5700287|160|0|1|2025-11-29|18:45|1|IN|1|
1647|5017166|240|86|1|2025-11-23|10:58|1|RT|2|
1647|5006994|240|23|1|2025-11-09|08:12|1|RT|2|
1925|5700167|160|0|1|2025-11-03|13:17|1|A1|1|
3043|5603480|520|2|1|2025-11-10|11:46|1|RT|2|
3471|5600765|160|0|1|2025-11-22|13:10|1|A1|1|
1925|5001376|160|0|1|2025-11-03|09:36|1|IN|1|
1925|5700206|160|0|1|2025-11-15|13:54|1|IN|1|
3577|5102374|521|0|1|2025-11-12|19:35|1|AF|1|
3471|5600902|160|2|1|2025-11-26|14:17|1|A1|1|
1647|5016705|240|29|1|2025-11-12|14:40|1|RT|2|
3577|5102426|521|0|1|2025-11-19|17:01|1|IN|1|
1925|5700204|160|0|1|2025-11-15|13:54|1|IN|1|
1925|5700200|160|0|1|2025-11-15|15:26|1|IN|1|
3471|5600778|160|0|1|2025-11-24|15:38|1|IN|1|
3471|5600777|160|0|1|2025-11-25|09:57|1|A1|1|
3043|5003411|523|0|1|2025-11-05|11:43|1|A1|1|
1647|5017166|240|58|1|2025-11-23|08:14|1|RT|2|
3471|5600787|160|0|1|2025-11-25|10:38|1|IN|1|
1925|5700334|160|0|1|2025-11-24|18:10|1|A1|1|
1925|5100796|160|0|1|2025-11-03|09:56|1|A1|1|
1925|5700342|160|0|1|2025-11-24|22:55|1|A1|1|
3471|5600973|160|2|1|2025-11-26|15:58|0|A1|1|
1647|5006994|240|17|1|2025-11-08|08:56|1|RT|2|
1647|5017166|240|80|1|2025-11-23|10:19|1|RT|2|
3471|5600780|160|0|1|2025-11-25|09:51|1|IN|1|
3043|5003623|523|0|1|2025-11-27|11:56|1|A1|1|
1925|5001393|160|0|1|2025-11-14|14:04|1|A1|1|
3897|5611725|240|0|1|2025-11-23|07:48|1|T3|1|
1925|5700240|160|0|1|2025-11-16|00:15|1|IN|1|
3471|5600740|160|3|1|2025-11-26|10:28|0|A1|1|
1647|5017166|240|2|1|2025-11-19|13:51|1|RT|2|
1925|5100856|160|0|1|2025-11-21|21:44|1|IN|1|
1647|5016705|240|110|1|2025-11-17|09:33|1|RT|2|
1647|5006994|240|9|1|2025-11-06|11:28|1|RT|2|
3471|5600734|160|0|1|2025-11-26|07:48|0|A1|1|
3897|5611766|240|0|1|2025-11-23|07:48|0|T3|1|
3577|5102333|521|0|1|2025-11-05|18:33|1|A1|1|
3043|5603392|520|5|1|2025-11-04|10:39|1|RT|2|
1925|5700343|160|0|1|2025-11-24|22:55|1|IN|1|
1647|5006933|240|72|1|2025-11-02|11:01|1|RT|2|
3043|5003533|523|0|1|2025-11-14|13:42|0|A1|1|
3471|5600764|160|0|1|2025-11-22|13:10|1|IN|1|
1925|5700213|160|0|1|2025-11-14|19:59|1|A1|1|
3471|5600779|160|0|1|2025-11-24|15:38|1|A1|1|
3471|5600666|160|0|1|2025-11-01|12:53|1|A1|1|
3577|5102461|521|0|1|2025-11-27|18:53|1|AF|1|
1647|5016705|240|62|1|2025-11-14|21:25|1|RT|2|
3471|5600902|160|1|1|2025-11-26|15:58|0|A1|1|
1647|5016705|240|92|1|2025-11-16|13:03|1|RT|2|
1647|5006994|240|40|1|2025-11-09|12:52|1|RT|2|
3471|5600783|160|0|1|2025-11-26|09:18|1|A1|1|
3471|5600768|160|0|1|2025-11-22|15:08|1|IN|1|
1925|5001421|160|0|1|2025-11-20|13:20|1|IN|1|
3471|5600671|160|0|1|2025-11-01|10:42|1|IN|1|
1647|5006994|240|13|1|2025-11-06|13:55|1|RT|2|
1925|5700208|160|0|1|2025-11-15|10:54|0|IN|1|
1925|5001425|160|0|1|2025-11-20|07:46|1|IN|1|
1647|5016705|240|32|1|2025-11-12|15:15|1|RT|2|
1925|5001377|160|0|1|2025-11-03|09:36|1|A1|1|
3577|5102463|521|0|1|2025-11-27|18:53|1|AF|1|
3471|5600788|160|0|1|2025-11-25|10:38|1|A1|1|
1925|5700211|160|0|1|2025-11-14|19:34|1|A1|1|
1925|5001391|160|0|1|2025-11-14|19:14|0|A1|1|
3471|5600858|160|0|1|2025-11-19|18:43|1|IN|1|
1647|5006994|240|3|1|2025-11-04|21:45|1|RT|2|
1647|5006994|240|46|1|2025-11-09|13:53|1|RT|2|
3471|5000891|160|0|1|2025-11-26|14:17|1|A1|1|
3471|5600892|160|0|1|2025-11-26|14:17|1|AF|1|
3577|5102392|521|0|1|2025-11-18|17:32|1|IN|1|
3577|5102455|521|0|1|2025-11-26|17:20|0|AF|1|
1647|5006994|240|31|1|2025-11-09|10:32|1|RT|2|
3471|5600733|160|0|1|2025-11-25|18:39|1|A1|1|
1925|5700281|160|0|1|2025-11-20|14:34|1|IN|1|
1925|5700328|160|0|1|2025-11-21|19:20|1|A1|1|
1925|5700223|160|0|1|2025-11-14|19:12|1|A1|1|
1925|5700348|160|0|1|2025-11-26|13:32|1|A1|1|
1925|5700361|160|0|1|2025-11-24|17:01|1|IN|1|
3132|5005723|160|0|1|2025-11-03|15:31|1|IN|1|
1647|5016705|240|13|1|2025-11-12|07:18|1|RT|2|
1925|5700369|160|0|1|2025-11-24|19:57|1|IN|1|
1647|5017166|240|65|1|2025-11-23|08:55|1|RT|2|
1925|5100792|160|0|1|2025-11-03|11:53|1|A1|1|
1925|5700344|160|0|1|2025-11-24|22:55|1|A1|1|
3471|5600705|160|0|1|2025-11-03|07:44|1|A1|1|
1925|5700353|160|0|1|2025-11-26|13:37|0|IN|1|
3043|5603392|520|2|1|2025-11-03|11:20|1|RT|2|
3577|5102446|521|0|1|2025-11-24|17:54|1|IN|1|
1647|5017166|240|78|1|2025-11-23|10:07|1|RT|2|
1925|5100860|160|0|1|2025-11-21|13:10|1|IN|1|
3897|5611341|240|0|1|2025-11-09|03:31|1|T3|1|
1890|5110449|750|0|1|2025-11-11|10:21|1|V1|1|
3471|5600670|160|0|1|2025-11-01|10:45|1|A1|1|
1925|5001385|160|0|1|2025-11-03|19:05|1|A1|1|
3577|5102391|521|0|1|2025-11-14|17:04|1|A1|1|
1647|5016705|240|37|1|2025-11-12|21:31|1|RT|2|
3577|5102460|521|0|1|2025-11-26|17:20|0|AF|1|
1647|5006933|240|68|1|2025-11-01|14:21|1|RT|2|
1647|5006994|240|14|1|2025-11-06|14:41|1|RT|2|
3043|5603392|520|3|1|2025-11-03|11:21|0|RT|2|
3471|5600803|160|0|1|2025-11-25|14:02|1|A1|1|
1905|5019086|160|0|1|2025-11-13|17:17|1|V1|1|
1637|5201476|521|0|1|2025-11-07|15:06|0|A1|1|
3577|5102343|521|0|1|2025-11-04|16:53|1|IN|1|
1647|5017166|240|89|1|2025-11-23|11:12|1|RT|2|
1925|5100825|160|0|1|2025-11-14|09:23|0|IN|1|
1647|5017166|240|1|1|2025-11-19|12:53|0|RT|2|
1925|5100881|160|0|1|2025-11-03|09:03|1|A1|1|
1925|5700235|160|0|1|2025-11-15|11:05|1|A1|1|
3471|5600867|160|0|1|2025-11-19|08:36|1|A1|1|
3043|5003622|523|0|1|2025-11-27|11:58|1|A1|1|
1647|5017166|240|29|1|2025-11-20|18:05|1|RT|2|
3471|5600727|160|0|1|2025-11-15|13:41|1|A1|1|
1647|5006933|240|84|1|2025-11-02|14:33|1|RT|2|
1647|5006994|240|16|1|2025-11-06|20:23|1|RT|2|
3043|5603392|520|4|1|2025-11-03|11:23|1|RT|2|
3043|5603393|520|2|1|2025-11-03|11:20|1|RT|2|
1925|5001383|160|0|1|2025-11-03|09:53|0|A1|1|
3043|5603392|520|1|1|2025-11-03|11:19|1|RT|2|
1925|5700234|160|0|1|2025-11-15|10:54|0|IN|1|
1925|5700335|160|0|1|2025-11-24|18:10|1|IN|1|
3471|5600746|160|0|1|2025-11-26|15:50|1|A1|1|
1647|5016705|240|20|1|2025-11-12|11:09|1|RT|2|
3577|5102427|521|0|1|2025-11-20|18:28|1|AF|1|
1925|5700164|160|0|1|2025-11-03|18:14|1|IN|1|
1925|5700157|160|0|1|2025-11-03|15:47|1|A1|1|
1925|5700228|160|0|1|2025-11-14|15:29|0|IN|1|
1925|5001388|160|0|1|2025-11-14|15:15|1|IN|1|
3471|5600895|160|0|1|2025-11-20|03:33|1|IN|1|
1647|5016705|240|52|1|2025-11-14|13:07|1|RT|2|
1925|5700225|160|0|1|2025-11-14|15:29|0|A1|1|
1925|5100861|160|0|1|2025-11-21|13:10|1|A1|1|
1925|5700187|160|0|1|2025-11-03|09:39|1|IN|1|
1925|5700217|160|0|1|2025-11-14|19:12|1|A1|1|
1925|5700370|160|0|1|2025-11-24|19:57|1|A1|1|
1647|5006994|240|11|1|2025-11-06|12:57|1|RT|2|
1647|5016705|240|105|1|2025-11-17|08:54|1|RT|2|
3471|5600720|160|0|1|2025-11-03|10:07|1|A1|1|
1925|5700149|160|0|1|2025-11-03|15:21|1|A1|1|
1925|5700330|160|0|1|2025-11-26|08:54|1|A1|1|
1925|5700166|160|0|1|2025-11-03|13:17|1|IN|1|
3577|5102428|521|0|1|2025-11-19|19:30|0|AF|1|
3897|5611723|240|0|1|2025-11-23|07:48|1|T3|1|
1647|5016705|240|9|1|2025-11-11|16:15|1|RT|2|
3471|5600894|160|0|1|2025-11-26|15:58|0|AF|1|
1647|5017166|240|16|1|2025-11-20|07:41|1|RT|2|
1925|5700365|160|0|1|2025-11-26|07:59|1|IN|1|
3897|5611617|240|0|1|2025-11-17|04:27|1|T3|1|
1925|5700331|160|0|1|2025-11-26|08:54|1|IN|1|
1925|5700227|160|0|1|2025-11-14|15:29|0|A1|1|
3471|5600668|160|0|1|2025-11-01|13:35|0|A1|1|
1647|5006994|240|35|1|2025-11-09|11:04|1|RT|2|
1647|5016705|240|85|1|2025-11-16|11:38|1|RT|2|
3471|5600721|160|0|1|2025-11-03|14:20|1|A1|1|
3471|5600821|160|0|1|2025-11-25|11:18|1|A1|1|
1925|5001386|160|0|1|2025-11-14|16:13|1|IN|1|
3471|5600866|160|0|1|2025-11-19|08:36|1|IN|1|
1925|5700189|160|0|1|2025-11-03|09:39|1|IN|1|
3471|5600794|160|0|1|2025-11-19|12:57|1|IN|1|
1647|5016705|240|31|1|2025-11-12|15:09|1|RT|2|
3471|5600710|160|0|1|2025-11-01|07:40|1|IN|1|
1647|5017166|240|97|1|2025-11-23|12:56|1|RT|2|
1647|5006994|240|42|1|2025-11-09|13:25|1|RT|2|
3471|5600732|160|0|1|2025-11-26|10:28|0|A1|1|
1925|5700371|160|0|1|2025-11-24|19:57|1|IN|1|
3577|5102401|521|0|1|2025-11-18|17:32|1|AF|1|
1925|5001395|160|0|1|2025-11-14|14:33|0|A1|1|
1925|5700288|160|0|1|2025-11-29|18:53|1|A1|1|
1647|5017166|240|37|1|2025-11-21|20:46|1|RT|2|
1925|5100800|160|0|1|2025-11-03|16:30|1|A1|1|
1647|5016705|240|61|1|2025-11-14|21:18|1|RT|2|
3471|5600669|160|0|1|2025-11-01|10:45|1|IN|1|
3043|5003577|523|0|1|2025-11-20|11:25|1|A1|1|
1925|5100789|160|0|1|2025-11-03|18:05|1|IN|1|
3577|5102462|521|0|1|2025-11-27|18:53|1|AF|1|
3471|5600791|160|0|1|2025-11-25|14:02|1|IN|1|
3471|5600771|160|0|1|2025-11-22|12:49|1|A1|1|
1925|5700214|160|0|1|2025-11-14|19:59|1|IN|1|
1925|5700205|160|0|1|2025-11-15|13:54|1|A1|1|
3577|5102434|521|0|1|2025-11-20|18:28|1|IN|1|
3471|5600665|160|0|1|2025-11-01|12:53|1|IN|1|
3043|5603393|520|5|1|2025-11-04|10:39|1|RT|2|
1925|5700190|160|0|1|2025-11-03|09:01|1|A1|1|
3471|5600672|160|0|1|2025-11-01|10:42|1|A1|1|
3471|5600865|160|0|1|2025-11-19|10:30|1|A1|1|
1925|5700293|160|0|1|2025-11-29|18:45|1|IN|1|
1647|5016705|240|94|1|2025-11-16|13:06|1|RT|2|
3471|5600673|160|0|1|2025-11-01|08:52|1|IN|1|
1925|5700165|160|0|1|2025-11-03|13:17|1|A1|1|
1925|5700168|160|0|1|2025-11-03|13:17|1|IN|1|
1925|5700352|160|0|1|2025-11-26|13:37|0|A1|1|
1647|5016705|240|57|1|2025-11-14|18:19|1|RT|2|
3577|5102337|521|0|1|2025-11-05|14:00|1|IN|1|
1647|5006994|240|8|1|2025-11-05|22:17|1|RT|2|
1925|5001389|160|0|1|2025-11-14|15:15|1|A1|1|
1925|5001387|160|0|1|2025-11-14|16:13|1|A1|1|
3471|5600674|160|0|1|2025-11-01|08:52|1|A1|1|
1925|5100858|160|0|1|2025-11-21|20:05|0|IN|1|
3471|5600790|160|0|1|2025-11-25|10:28|1|A1|1|
1925|5700358|160|0|1|2025-11-26|14:13|0|A1|1|
1647|5006933|240|74|1|2025-11-02|11:18|1|RT|2|
1925|5001382|160|0|1|2025-11-03|09:53|0|IN|1|
1647|5016705|240|77|1|2025-11-16|08:47|1|RT|2|
1925|5100854|160|0|1|2025-11-21|15:35|0|IN|1|
1925|5100831|160|0|1|2025-11-14|21:25|1|IN|1|
1925|5100827|160|0|1|2025-11-14|16:58|1|IN|1|
3577|5102319|521|0|1|2025-11-03|19:03|1|IN|1|
1647|5017166|240|20|1|2025-11-20|09:13|1|RT|2|
1925|5001390|160|0|1|2025-11-14|19:14|0|IN|1|
1647|5017166|240|42|1|2025-11-22|12:50|1|RT|2|
1647|5006994|240|38|1|2025-11-09|11:49|1|RT|2|
3471|5600859|160|0|1|2025-11-19|18:43|1|A1|1|
3471|5600871|160|0|1|2025-11-29|18:44|1|A1|1|
1925|5100824|160|0|1|2025-11-14|13:39|1|A1|1|
3471|5600861|160|0|1|2025-11-20|03:33|1|A1|1|
1925|5700362|160|0|1|2025-11-24|17:01|1|A1|1|
1647|5016705|240|114|1|2025-11-17|10:15|1|RT|2|
1925|5700332|160|0|1|2025-11-24|18:10|1|A1|1|
1647|5016705|240|30|1|2025-11-12|15:08|1|RT|2|
1925|5700297|160|0|1|2025-11-29|18:53|1|IN|1|
1925|5700350|160|0|1|2025-11-26|12:46|1|IN|1|
3471|5600667|160|0|1|2025-11-01|13:35|0|IN|1|
1925|5001380|160|0|1|2025-11-03|13:30|1|IN|1|
1925|5700203|160|0|1|2025-11-15|13:54|1|A1|1|
1925|5700218|160|0|1|2025-11-14|19:12|1|IN|1|
1647|5016705|240|82|1|2025-11-16|11:17|1|RT|2|
3577|5102454|521|0|1|2025-11-27|18:53|1|AF|1|
3577|5102369|521|0|1|2025-11-12|19:35|1|AF|1|
1925|5700229|160|0|1|2025-11-14|11:10|1|A1|1|
3043|5003532|520|2|1|2025-11-14|13:44|0|IN|1|
1925|5001426|160|0|1|2025-11-20|07:46|1|A1|1|
1647|5006994|240|39|1|2025-11-09|11:53|1|RT|2|
1925|5100829|160|0|1|2025-11-14|08:17|1|IN|1|
1925|5700237|160|0|1|2025-11-15|11:05|1|A1|1|
1647|5017166|240|23|1|2025-11-20|10:04|1|RT|2|
1925|5700354|160|0|1|2025-11-26|13:37|0|A1|1|
1925|5001379|160|0|1|2025-11-03|12:20|1|A1|1|
1925|5700336|160|0|1|2025-11-26|08:54|1|A1|1|
3471|5600769|160|0|1|2025-11-22|15:08|1|A1|1|
1925|5700232|160|0|1|2025-11-14|11:10|1|IN|1|
1925|5001423|160|0|1|2025-11-20|17:47|1|IN|1|
1647|5017166|240|49|1|2025-11-22|14:07|1|RT|2|
1647|5006994|240|18|1|2025-11-08|12:22|1|RT|2|
1925|5700151|160|0|1|2025-11-03|15:21|1|A1|1|
3043|5603393|520|4|1|2025-11-03|11:23|1|RT|2|
3043|5003532|520|1|1|2025-11-14|13:42|0|IN|1|
3471|5600796|160|0|1|2025-11-19|17:46|1|IN|1|
1925|5700199|160|0|1|2025-11-15|15:26|1|A1|1|
1647|5017166|240|64|1|2025-11-23|08:55|1|RT|2|
1925|5700272|160|0|1|2025-11-20|21:13|1|A1|1|
1647|5017166|240|3|1|2025-11-19|17:06|1|RT|2|
3471|5600740|160|5|1|2025-11-26|07:48|0|A1|1|
1925|5700161|160|0|1|2025-11-03|18:14|1|A1|1|
1925|5700152|160|0|1|2025-11-03|15:21|1|IN|1|
1925|5108799|160|0|1|2025-11-03|16:30|1|IN|1|
1647|5016705|240|17|1|2025-11-12|09:14|1|RT|2|
3897|5611854|240|0|1|2025-11-25|00:31|1|T3|1|
1647|5016705|240|106|1|2025-11-17|09:04|1|RT|2|
1647|5006994|240|22|1|2025-11-09|08:10|1|RT|2|
1925|5700238|160|0|1|2025-11-15|11:05|1|IN|1|
1925|5700158|160|0|1|2025-11-03|15:47|1|IN|1|
3043|5003532|520|3|1|2025-11-18|11:45|1|IN|1|
1925|5700273|160|0|1|2025-11-20|21:13|1|IN|1|
1647|5006994|240|32|1|2025-11-09|10:42|1|RT|2|
1647|5017166|240|92|1|2025-11-23|11:27|1|RT|2|
1925|5700289|160|0|1|2025-11-29|18:53|1|IN|1|
1925|5001384|160|0|1|2025-11-03|19:05|1|IN|1|
3043|5603481|520|2|1|2025-11-10|13:49|1|A1|2|
1925|5700296|160|0|1|2025-11-29|18:53|1|A1|1|
1925|5700355|160|0|1|2025-11-26|13:37|0|IN|1|
3471|5600740|160|2|1|2025-11-27|15:50|1|A1|1|
1647|5016705|240|126|1|2025-11-18|14:15|1|RT|2|
1647|5017166|240|70|1|2025-11-23|09:22|1|RT|2|
3043|5603393|520|3|1|2025-11-03|11:21|0|RT|2|
3471|5600782|160|0|1|2025-11-26|09:18|1|IN|1|
1925|5700242|160|0|1|2025-11-16|00:15|1|IN|1|
1925|5700155|160|0|1|2025-11-03|08:07|1|A1|1|
1647|5006933|240|76|1|2025-11-02|11:26|1|RT|2|
3577|5102456|521|0|1|2025-11-27|18:53|1|AF|1|
3471|5600776|160|0|1|2025-11-25|09:57|1|IN|1|
1925|5700338|160|0|1|2025-11-24|21:55|1|A1|1|
1925|5700339|160|0|1|2025-11-24|21:55|1|IN|1|
1925|5700150|160|0|1|2025-11-03|15:21|1|IN|1|
3043|5603481|520|1|1|2025-11-10|13:48|1|A1|2|
1647|5017166|240|75|1|2025-11-23|09:55|1|RT|2|
1925|5700202|160|0|1|2025-11-15|15:26|1|IN|1|
1925|5700154|160|0|1|2025-11-03|08:07|1|IN|1|
1647|5016705|240|40|1|2025-11-13|09:38|1|RT|2|
3471|5600786|160|0|1|2025-11-24|17:03|1|A1|1|
1905|5017408|160|0|1|2025-11-14|18:36|1|V1|1|
1925|5100832|160|0|1|2025-11-14|21:25|1|A1|1|
3471|5600864|160|0|1|2025-11-19|10:30|1|IN|1|
1647|5016705|240|102|1|2025-11-17|08:20|1|RT|2|
1647|5017166|240|27|1|2025-11-20|12:31|1|RT|2|
3471|5600793|160|0|1|2025-11-19|17:57|0|A1|1|
3471|5600766|160|0|1|2025-11-22|14:18|0|IN|1|
3577|5102408|521|0|1|2025-11-19|19:30|0|AF|1|
1925|5700192|160|0|1|2025-11-03|09:01|1|A1|1|
1647|5017166|240|8|1|2025-11-19|19:56|1|RT|2|
3471|5600740|160|1|1|2025-11-25|20:32|1|A1|1|
1647|5017166|240|34|1|2025-11-21|18:13|1|RT|2|
1647|5006933|240|62|1|2025-11-01|11:06|1|RT|2|
3132|5005733|160|0|1|2025-11-03|11:32|0|A1|1|
1647|5016705|240|27|1|2025-11-12|13:39|1|RT|2|
1925|5700260|160|0|1|2025-11-03|18:14|1|A1|1|
1925|5001375|160|0|1|2025-11-04|09:44|1|A1|1|
1647|5006994|240|19|1|2025-11-08|12:39|1|RT|2|
1925|5700366|160|0|1|2025-11-26|07:59|1|A1|1|
3577|5102368|521|0|1|2025-11-14|17:04|1|IN|1|
1647|5006994|240|5|1|2025-11-05|15:34|1|RT|2|
3471|5600785|160|0|1|2025-11-24|17:03|1|IN|1|
1925|5700191|160|0|1|2025-11-03|09:01|1|IN|1|
1647|5016705|240|59|1|2025-11-14|20:09|1|RT|2|
1647|5006933|240|67|1|2025-11-01|13:33|1|RT|2|
1647|5017166|240|26|1|2025-11-20|11:23|1|RT|2|
3043|5003554|523|0|1|2025-11-18|11:45|1|A1|1|
1647|5017166|240|24|1|2025-11-20|10:21|1|RT|2|
1647|5017166|240|50|1|2025-11-22|14:25|1|RT|2|
3043|5603482|520|1|1|2025-11-10|13:48|1|RT|2|
1647|5017166|240|13|1|2025-11-19|22:21|1|RT|2|
1647|5017166|240|103|1|2025-11-23|13:57|1|RT|2|
1647|5016705|240|78|1|2025-11-16|09:02|1|RT|2|
3577|5102403|521|0|1|2025-11-18|17:32|1|A1|1|
3043|5003534|523|0|1|2025-11-14|13:44|0|A1|1|
1647|5017166|240|46|1|2025-11-22|13:22|1|RT|2|
1925|5001374|160|0|1|2025-11-04|09:44|1|IN|1|
3897|5611124|240|0|1|2025-11-04|03:38|1|T3|1|
1647|5006994|240|26|1|2025-11-09|10:02|1|RT|2|
1647|5017166|240|67|1|2025-11-23|09:06|1|RT|2|
1925|5700226|160|0|1|2025-11-14|15:29|0|IN|1|
1647|5017166|240|12|1|2025-11-19|22:20|1|RT|2|
1925|5100790|160|0|1|2025-11-03|18:05|1|A1|1|
1647|5017166|240|47|1|2025-11-22|13:33|1|RT|2|
1647|5017166|240|102|1|2025-11-23|13:55|1|RT|2|
3577|5102429|521|0|1|2025-11-20|18:28|1|AF|1|
1647|5017166|240|31|1|2025-11-21|07:18|1|RT|2|
1647|5006933|240|73|1|2025-11-02|11:03|1|RT|2|
1647|5017166|240|85|1|2025-11-23|10:53|1|RT|2|
1925|5100859|160|0|1|2025-11-21|20:05|0|A1|1|
3471|5600973|160|1|1|2025-11-26|14:17|1|A1|1|
1647|5017166|240|55|1|2025-11-23|08:05|1|RT|2|
1647|5017166|240|76|1|2025-11-23|09:57|1|RT|2|
1925|5700364|160|0|1|2025-11-26|07:59|1|A1|1|
1647|5016705|240|71|1|2025-11-15|13:29|1|RT|2|
1647|5017166|240|87|1|2025-11-23|11:08|1|RT|2|
1647|5017166|240|40|1|2025-11-22|12:36|1|RT|2|
1647|5016705|240|103|1|2025-11-17|08:21|1|RT|2|
1925|5700236|160|0|1|2025-11-15|11:05|1|IN|1|
1647|5017166|240|90|1|2025-11-23|11:16|1|RT|2|
1647|5006994|240|1|1|2025-11-04|14:34|1|RT|2|
1925|5001381|160|0|1|2025-11-03|13:30|1|A1|1|
1647|5016705|240|19|1|2025-11-12|10:35|1|RT|2|
3471|5600664|160|0|1|2025-11-01|08:08|1|A1|1|
1647|5017166|240|43|1|2025-11-22|12:51|1|RT|2|
3471|5600736|160|2|1|2025-11-27|15:50|1|A1|1|
3471|5600770|160|0|1|2025-11-22|12:49|1|IN|1|
1647|5017166|240|72|1|2025-11-23|09:35|1|RT|2|
1647|5006933|240|64|1|2025-11-01|12:47|1|RT|2|
1925|5700359|160|0|1|2025-11-26|14:13|0|IN|1|
1647|5017166|240|17|1|2025-11-20|08:26|1|RT|2|
3577|5102433|521|0|1|2025-11-20|18:28|1|AF|1|
1647|5017166|240|61|1|2025-11-23|08:29|1|RT|2|
1925|5700345|160|0|1|2025-11-24|22:55|1|IN|1|
1647|5006994|240|41|1|2025-11-09|13:21|1|RT|2|
1647|5017166|240|41|1|2025-11-22|12:49|1|RT|2|
