Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
1925|5700338|160|15|0|290|1|2025-11-22 10:50:02|
3577|5102428|521|15|0|290|1|2025-11-19 12:27:01|
1925|5700239|160|1|0|445|1|2025-11-13 11:28:01|
1925|5700279|160|1|0|445|1|2025-11-19 09:58:02|
1925|5700287|160|15|0|290|1|2025-11-26 17:43:03|
1925|5100861|160|23|0|46|1|2025-11-19 11:34:02|
1925|5700328|160|1|0|445|1|2025-11-20 12:26:03|
1925|5100828|160|1|0|445|1|2025-11-12 16:35:04|
3043|5003533|523|23|0|46|1|2025-11-14 09:51:01|
1925|5100881|160|15|0|290|2|2025-11-01 08:54:00|
3471|5600791|160|15|0|290|1|2025-11-19 18:35:03|
1925|5700296|160|1|0|445|1|2025-11-26 18:05:02|
1925|5700315|160|23|0|46|1|2025-11-28 11:31:02|
3043|5003412|523|15|0|290|1|2025-11-26 17:04:02|
1925|5700308|160|23|0|46|1|2025-11-28 11:14:03|
3471|5600769|160|23|0|46|1|2025-11-19 16:47:04|
1925|5700343|160|15|0|290|1|2025-11-22 10:57:01|
1925|5700309|160|23|0|46|1|2025-11-28 11:14:04|
1925|5700361|160|23|0|46|1|2025-11-21 13:26:01|
3471|5600740|160|1|0|3949|1|2025-11-20 18:28:04|
3471|5600953|160|23|0|46|1|2025-11-27 17:41:04|
1925|5100881|160|1|0|445|2|2025-11-01 08:54:00|
1925|5700218|160|23|0|46|1|2025-11-13 10:05:03|
1925|5700346|160|1|0|445|1|2025-11-24 13:12:02|
3897|5611617|240|1|6|19060|1|2025-11-13 13:20:05|
3471|5600973|160|23|0|46|2|2025-11-25 09:41:01|
1925|5700205|160|1|0|445|1|2025-11-13 10:42:02|
1925|5001395|160|1|0|445|1|2025-11-13 11:32:04|
3471|5600948|160|23|0|46|1|2025-11-27 18:38:02|
1925|5700237|160|15|0|290|1|2025-11-13 11:29:01|
1647|5017166|240|1|9|46280|1|2025-11-27 16:22:03|
3471|5600892|160|15|0|290|1|2025-11-21 23:57:02|
3471|5600764|160|23|0|46|1|2025-11-19 19:00:03|
1925|5700315|160|15|0|290|1|2025-11-28 11:31:02|
1925|5700358|160|15|0|290|1|2025-11-21 11:53:01|
1925|5700350|160|23|0|46|1|2025-11-24 13:18:02|
1925|5700211|160|15|0|290|1|2025-11-12 18:07:01|
1925|5700237|160|1|0|445|1|2025-11-13 11:29:01|
3471|5600740|160|23|0|46|1|2025-11-20 18:28:04|
1925|5100825|160|1|0|445|1|2025-11-12 16:35:02|
1925|5700242|160|23|0|46|1|2025-11-13 11:23:02|
1925|5700211|160|1|0|445|1|2025-11-12 18:07:01|
1925|5700318|160|23|0|46|1|2025-11-28 11:24:02|
1925|5001422|160|23|0|46|1|2025-11-19 12:00:01|
1925|5700199|160|15|0|290|1|2025-11-13 10:23:01|
3897|5611271|240|1|0|445|1|2025-11-03 16:00:09|
1925|5700292|160|15|0|290|1|2025-11-27 10:15:01|
1925|5700341|160|15|0|290|1|2025-11-22 10:54:02|
1925|5700287|160|1|0|445|1|2025-11-26 17:43:03|
3471|5600942|160|23|0|46|1|2025-11-27 18:24:03|
1925|5700354|160|15|0|290|1|2025-11-20 11:40:02|
1925|5700338|160|23|0|46|1|2025-11-22 10:50:02|
3577|5102410|521|23|0|46|1|2025-11-18 12:09:02|
3471|5600779|160|1|0|445|1|2025-11-21 12:26:01|
3471|5600789|160|23|0|46|1|2025-11-19 18:29:04|
1647|5017166|240|15|0|290|1|2025-11-27 16:22:03|
3471|5600782|160|15|0|290|1|2025-11-19 15:41:01|
1925|5700281|160|15|0|290|1|2025-11-19 10:04:02|
1925|5100860|160|15|0|290|1|2025-11-19 11:28:07|
1925|5001427|160|1|0|445|1|2025-11-19 12:00:05|
1925|5100855|160|15|0|290|1|2025-11-19 11:25:05|
1925|5100858|160|15|0|290|1|2025-11-19 11:48:01|
3471|5600776|160|23|0|46|1|2025-11-21 18:08:02|
3471|5600947|160|1|0|445|1|2025-11-28 20:17:01|
3471|5600776|160|1|0|445|1|2025-11-21 18:08:02|
1925|5100860|160|23|0|46|1|2025-11-19 11:28:07|
1925|5001392|160|1|0|445|1|2025-11-13 13:04:03|
1925|5700346|160|23|0|46|1|2025-11-24 13:12:02|
3577|5102462|521|1|0|445|1|2025-11-27 14:03:01|
1925|5100859|160|1|0|553|1|2025-11-19 11:28:06|
1925|5001423|160|15|0|290|1|2025-11-19 12:01:02|
3043|5603321|523|15|0|290|1|2025-11-10 18:13:01|
1925|5700345|160|23|0|46|1|2025-11-22 10:59:02|
