Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3471|5600944|160|40093106|18|02|TUBO DE CAUCHO|50.12500|7218|7218|390.24|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600787|160|87082999|137|99|PARTE DE LA CARROCERIA|4.02143|563|563|30.80|140.000|6|140.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 10:54:04|
1925|5700312|160|87082999|22|99|PARTE DE LA CARROCERÍA|406.55000|40655|40655|2198.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 11:37:01|
1925|5700228|160|84213199|2|00|FILTRO DE AIRE|175.00000|8400|8400|454.08|48.000|6|218.23000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 09:35:05|
3471|5600798|160|87082999|165|99|PARTE DE LA CARROCERIA|17.56944|1265|1265|68.40|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
1925|5700351|160|87082999|27|99|PARTE DE LA CARROCERÍA|4078.50000|40785|40785|2205.00|10.000|6|10.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 14:22:01|
1925|5700355|160|87088005|65|00|PARTE DE LA SUSPENSION|140.93750|11275|11275|616.80|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
3471|5600944|160|40093106|17|02|TUBO DE CAUCHO|21.64000|1082|1082|58.50|50.000|6|1.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600860|160|39235001|4|00|TAPON DE PLASTICO|1.29500|259|259|14.00|200.000|6|4.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:07|
1925|5700357|160|73181606|36|03|TUERCA DE ACERO|0.54844|351|351|19.20|640.000|6|13.35000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 11:53:02|
3471|5600778|160|87082999|186|99|PARTE DE LA CARROCERIA|9.31944|671|671|36.72|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
3471|5600858|160|87082999|47|99|PARTE DE LA CARROCERIA|66.60000|3330|3330|180.00|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
3471|5600798|160|84818022|116|00|VALVULA ELECTRONICA|291.33333|3496|3496|189.00|12.000|6|0.24000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:30:06|
3471|5600778|160|94019999|341|01|PARTE PARA ASIENTO|14.62500|1053|1053|57.60|72.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
1925|5700368|160|63079099|1|99|CORREA PARA BATERIA|22.85000|1828|1828|100.00|80.000|6|8.91000|1||1|6||||CHN|CHN| | | | |1|A1|2025-11-21 18:47:04|
3471|5600895|160|40093106|14|02|TUBO DE CAUCHO|50.30000|1006|1006|54.40|20.000|6|0.40000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-15 11:53:02|
3471|5600944|160|39269099|4|99|ARANDELA|0.37153|107|107|5.76|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600734|160|39173291|1|00|TUBO DE PLASTICO|54.00000|270|270|14.78|5.000|1|5.00000|1||1|6||||CHN|CHN| | | | |1|A1|2025-11-20 21:45:00|
1925|5700306|160|87082919|124|00|PUERTA|4577.86667|68668|68668|3712.50|15.000|6|15.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 11:04:03|
3471|5600792|160|73181599|71|05|TORNILLO|3.51389|1012|1012|54.72|288.000|6|5.76000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:05:01|
1925|5001394|160|87087006|108|00|TAPAS PARA RUEDAS|3.51500|1406|1406|76.00|400.000|6|400.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 11:32:07|
1925|5700316|160|94019999|48|01|PARTE PARA ASIENTO|37.18000|3718|3718|201.00|100.000|6|65.70000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 11:26:01|
1925|5700355|160|39174001|141|00|ACCESORIO PARA TUBERIA|34.00000|2720|2720|148.80|80.000|6|2.32000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
3471|5600944|160|94019999|168|01|PARTE PARA ASIENTO|28.66667|4128|4128|223.20|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 19:08:01|
3471|5600858|160|87088007|61|00|BRAZO DE LA SUSPENSION|237.54000|23754|23754|1284.00|100.000|6|100.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 17:16:03|
3471|5600778|160|87082999|172|99|PARTE DE LA CARROCERIA|121.75000|8766|8766|479.52|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
1925|5700339|160|87082919|49|00|PUERTA|4524.20000|22621|22621|1237.45|5.000|6|5.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-22 10:51:00|
3471|5600862|160|73269099|141|99|SOPORTE METALICO|4.81000|1924|1924|104.00|400.000|6|8.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:48:01|
3471|5600794|160|87089999|108|99|TUBERIA PREFORMADA|83.80556|6034|6034|326.16|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 15:50:01|
3471|5600778|160|98020019|61|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.36806|53|53|2.88|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 18:31:03|
1925|5700363|160|87087099|3|99|RIN CON NEUMATICO|1115.65625|178505|178505|9764.80|160.000|6|160.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-21 13:21:03|
3471|5600866|160|87082999|49|99|PARTE DE LA CARROCERIA|406.60000|4066|4066|219.80|10.000|6|10.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-14 16:09:02|
3471|5600950|160|87082999|58|99|PARTE DE LA CARROCERIA|66.57500|2663|2663|144.00|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:19:02|
1925|5700355|160|87082999|167|99|PARTE DE CARROCERÍA|8.03750|643|643|35.20|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 11:41:02|
1925|5700308|160|85124001|47|00|Sistema de limpia parabrisas|1222.44118|41563|41563|2247.06|34.000|6|201.14000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 11:14:03|
1925|5700204|160|87088005|103|00|PARTE DE LA SUSPENSION|95.62500|2295|2295|124.08|24.000|6|24.00000|6||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 10:37:02|
1925|5700204|160|94019999|51|01|PARTE PARA ASIENTO|26.08000|2608|2608|141.00|100.000|6|68.17000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-13 10:37:02|
1925|5700302|160|40169901|86|00|PIEZA DE CAUCHO DE USO TECNICO|1.66333|499|499|27.00|300.000|6|27.16000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-28 11:39:01|
1925|5700329|160|39199099|77|00|ETIQUETA AUTOADHESIVA DE PLASTICO|1.10000|143|143|7.80|130.000|6|42.70000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-20 12:28:02|
3471|5600950|160|94019999|110|01|PARTE PARA ASIENTO|13.50000|1944|1944|105.12|144.000|6|144.00000|1||1|6||||CHN|CHN| | | | |1|IN|2025-11-27 18:19:02|
