Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1925|5100830|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:03|
1925|5700330|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 12:14:01|
1925|5700225|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:30:04|
3043|5003652|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU158212|2025-11-28 16:50:02|
3471|5600892|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 23:57:02|
1925|5001425|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 12:01:01|
3043|5603480|523|||KANSAS CITY SOUTHERN|USA|1|2025-11-24 21:03:01|
1925|5700214|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:15:01|
1925|5700362|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 13:25:02|
1925|5700310|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:13:02|
1925|5700317|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:25:04|
3471|5600791|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:35:03|
1925|5100832|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:40:01|
1925|5700226|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:32:01|
3153|5000830|800|||TRANSFER|MEX|409ET9|2025-11-06 14:52:00|
3471|5600770|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:29:05|
3471|5600790|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:29:02|
1925|5700224|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:26:02|
1925|5700200|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 10:25:05|
1925|5700278|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:58:02|
3043|5003534|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU996726|2025-11-14 09:51:01|
3471|5600871|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-27 18:38:03|
3043|5603322|520|||FERROMEX|USA|1|2025-11-10 18:03:00|
1925|5100829|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:03|
3043|5603482|520|||FERROMEX|USA|1|2025-11-20 18:42:00|
3471|5600949|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-27 18:39:02|
3471|5600779|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 12:26:01|
1925|5700305|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:04:02|
1925|5700199|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 10:23:01|
3471|5600803|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:35:03|
1925|5700296|160|||EVER FRONT|PAN|EVERFRONT|2025-11-26 18:05:02|
1925|5700215|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:20:01|
1925|5700207|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:02:03|
3471|5600821|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-20 10:14:05|
1925|5700370|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 18:48:06|
1925|5100860|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 11:28:07|
1925|5700366|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 18:25:03|
3471|5600786|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 19:35:01|
3043|5603481|520|||FERROMEX|USA|1|2025-11-20 18:47:01|
3897|5611617|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU195714|2025-11-13 13:20:05|
1925|5700328|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-20 12:26:03|
3897|5611730|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU993383|2025-11-19 10:50:23|
1925|5700282|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 10:04:01|
3471|5600942|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-27 18:24:03|
1925|5700240|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:24:02|
3471|5600771|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:29:03|
1925|5700287|160|||EVER FRONT|PAN|EVERFRONT|2025-11-26 17:43:03|
1925|5700359|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 11:54:06|
1925|5700229|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 09:40:02|
1925|5001393|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:32:03|
3897|5611632|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU993198|2025-11-13 13:30:14|
1925|5700302|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:39:01|
1925|5700365|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 13:40:02|
3043|5603395|520|||FERROMEX|USA|1|2025-11-11 18:09:01|
1925|5700212|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:08:01|
3471|5600789|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 18:29:04|
1925|5700350|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-24 13:18:02|
1925|5700307|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:14:02|
3471|5600782|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 15:41:01|
3043|5003554|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU987138|2025-11-14 15:08:03|
1925|5700334|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 12:48:02|
3471|5600973|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-25 09:41:01|
1925|5700361|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 13:26:01|
1925|5700280|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 10:02:01|
1925|5100881|160|||EVER LUNAR|TWN|EVERLUNAR|2025-11-01 08:54:00|
3471|5600736|160|||WAN HAI LINES MEXICO, S.A. DE C.V.|SGP|WANHAIA02|2025-11-20 16:19:03|
1925|5700272|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:43:01|
1925|5700313|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:33:01|
1925|5700369|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 18:50:03|
3471|5600776|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 18:08:02|
1925|5700319|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:23:03|
1925|5700279|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:58:02|
1925|5700332|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 12:20:01|
3471|5600780|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 19:29:03|
1925|5700281|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 10:04:02|
3471|5600740|160|||WAN HAI LINES MEXICO, S.A. DE C.V.|SGP|WANHAIA02|2025-11-20 18:28:04|
3471|5600781|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 19:29:03|
1925|5700341|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-22 10:54:02|
3471|5600788|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-20 10:54:04|
1925|5700216|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 18:20:01|
3471|5600768|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 16:47:03|
1925|5700283|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 10:05:03|
3471|5600734|160|||WAN HAI LINES MEXICO, S.A. DE C.V.|SGP|WANHAIA02|2025-11-20 21:45:00|
1925|5700230|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 09:40:03|
1925|5700315|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:31:02|
3043|5003411|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU141421|2025-11-04 16:55:01|
3471|5600947|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-28 20:17:01|
1925|5001395|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:32:04|
1925|5001392|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 13:04:03|
3471|5600798|160|||PACIFIC INTERNATIONAL LINES (PRIVATE) LIMITED|GBR|EVERLISSOME|2025-11-14 16:30:06|
3471|5600948|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-27 18:38:02|
3471|5600764|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-19 19:00:03|
3897|5611766|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU997051|2025-11-19 12:10:21|
1925|5700208|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 11:04:05|
1925|5001421|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 12:01:02|
1925|5001428|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 12:00:03|
1925|5700309|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:14:04|
1925|5700303|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 10:59:01|
1925|5700311|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:14:06|
3471|5600861|160|||EVERGREEN LINE|GBR|EVERLISSOME|2025-11-14 16:09:03|
1925|5700235|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-13 10:48:03|
3471|5600795|160|||PACIFIC INTERNATIONAL LINES (PRIVATE) LIMITED|GBR|EVERLISSOME|2025-11-14 15:49:02|
1925|5700298|160|||EVER FRONT|PAN|EVERFRONT|2025-11-27 10:17:00|
1925|5700337|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-21 12:23:01|
3897|5611854|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU196444|2025-11-21 11:50:17|
1925|5100826|160|||EVER LISSOME|GBR|EVERLISSOME|2025-11-12 16:35:01|
3471|5600732|160|||WAN HAI LINES MEXICO, S.A. DE C.V.|SGP|WANHAIA02|2025-11-20 16:20:02|
3471|5600864|160|||EVERGREEN LINE|GBR|EVERLISSOME|2025-11-14 16:48:03|
1925|5700318|160|||EVER FRONT|PAN|EVERFRONT|2025-11-28 11:24:02|
3043|5603323|520|||FERROMEX|USA|1|2025-11-10 18:13:00|
3471|5600902|160|||EVERGREEN LINE|TWN|EVERLOYAL|2025-11-21 23:57:01|
3043|5003577|523|||KANSAS CITY SOUTHERN DE MEXICO|MEX|SNLU987192|2025-11-19 18:13:01|
3471|5600946|160|||EVERGREEN LINE|PAN|EVERFRONT|2025-11-28 20:35:00|
1925|5700276|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:52:01|
1925|5700274|160|||EVER LOYAL|TWN|EVERLOYAL|2025-11-19 09:49:01|
