Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1925|6100107|160|98020019|97|C1||1931R826001358|9.52|136.00000|2026-01-22 19:00:05|
1614|6000094|160|98020019|103|C1||1931R825051346|3.60|72.00000|2026-01-19 17:38:08|
1925|6100028|160|98020019|148|C1||1931R826001628|6.78|6.00000|2026-01-22 17:03:05|
1925|6100026|160|98020019|149|C1||1931R826001628|48.96|136.00000|2026-01-22 11:33:02|
3178|6000148|160|98020019|48|C1||1931R825050608|207.36|576.00000|2026-01-08 17:08:02|
3471|6400002|160|98020019|131|C1||1931R825050385|1.00|100.00000|2026-01-08 15:17:03|
3178|6000847|160|98020019|117|C1||1931R826001628|6.40|160.00000|2026-01-24 12:17:03|
3178|6000154|160|98020019|134|C1||1931R825038867|7341.12|288.00000|2026-01-09 12:32:04|
1614|6000082|160|98020019|160|C1||1931R826001314|81.60|8160.00000|2026-01-20 11:18:02|
1925|6100028|160|98020019|90|C1||1931R826001314|552.16|136.00000|2026-01-22 17:03:05|
3471|6400100|160|98020019|180|C1||1931R825050547|56.00|800.00000|2026-01-15 09:26:01|
1925|6000031|160|98020019|83|C1||1931R825050612|4.32|144.00000|2026-01-22 13:59:04|
3471|6400077|160|98020019|113|C1||1931R825038867|1223.52|48.00000|2026-01-08 16:17:04|
1925|6100026|160|98020019|197|C1||1931R826001628|2.72|68.00000|2026-01-22 11:33:02|
3471|6400240|160|98020019|120|C1||1931R825050575|7.20|240.00000|2026-01-26 09:17:02|
3471|6400002|160|98020019|167|C1||1931R825051346|1.00|100.00000|2026-01-08 15:17:03|
3471|6400174|160|98020019|246|C1||1931R825034859|133.28|136.00000|2026-01-16 10:44:03|
1925|6100107|160|98020019|178|C1||1931R826001314|146.16|36.00000|2026-01-22 19:00:05|
1614|6000508|160|98020019|55|C1||1931R825050612|7.20|240.00000|2026-01-28 13:34:05|
1925|6700025|160|98020019|107|C1||1931R825050550|65.28|384.00000|2026-01-13 10:52:07|
3471|6400240|160|98020019|130|C1||1931R825050575|33.60|240.00000|2026-01-26 09:17:02|
3471|6400061|160|98020019|20|C1||1931R825057053|88.40|680.00000|2026-01-09 16:01:03|
3178|6000972|160|98020019|89|C1||1931R826001628|572.85|285.00000|2026-01-24 12:02:13|
1614|6000072|160|98020019|122|C1||1931R825050575|40.00|500.00000|2026-01-07 20:04:00|
3178|6000154|160|98020019|34|C1||1931R825050575|46.08|576.00000|2026-01-09 12:32:04|
3577|6300042|521|98020019|107|C1||1931R825050530|1.20|1.00000|2026-01-23 16:53:01|
1925|6100028|160|98020019|12|C1||1931R825050575|121.50|450.00000|2026-01-22 17:03:05|
1614|6000518|160|98020019|216|C1||1931R825051346|7.20|120.00000|2026-01-28 13:35:05|
3471|6400002|160|98020019|126|C1||1931R825050575|12.00|200.00000|2026-01-08 15:17:03|
3471|6400029|160|98020019|253|C1||1931R825051346|8.40|120.00000|2026-01-02 16:54:02|
1925|6100107|160|98020019|1|C1||1931R825050612|4.08|136.00000|2026-01-22 19:00:05|
3577|6300031|521|98020019|27|C1||1931R826001628|26.40|60.00000|2026-01-09 11:36:01|
1614|6000082|160|98020019|177|C1||1931R825050575|7.20|240.00000|2026-01-20 11:18:02|
1925|6100107|160|98020019|210|C1||1931R826001628|54.40|68.00000|2026-01-22 19:00:05|
3471|6400215|160|98020019|14|C1||1931R826001314|734.40|180.00000|2026-01-20 12:39:02|
1925|6700024|160|98020019|45|C1||1931R825050612|28.80|288.00000|2026-01-13 10:50:03|
3471|6400077|160|98020019|110|C1||1931R825056909|992.76|12.00000|2026-01-08 16:17:04|
1925|6100022|160|98020019|43|C1||1931R825050575|2.72|136.00000|2026-01-22 16:58:03|
1614|6000518|160|98020019|93|C1||1931R825057868|1562.40|120.00000|2026-01-28 13:35:05|
1614|6000072|160|98020019|136|C1||1931R825034285|1.76|176.00000|2026-01-07 20:04:00|
1614|6000082|160|98020019|182|C1||1931R825050575|12.00|120.00000|2026-01-20 11:18:02|
3471|6400236|160|98020019|21|C1||1931R826001501|28.80|120.00000|2026-01-22 15:02:01|
3471|6400019|160|98020019|151|C1||1931R825050575|8.16|272.00000|2026-01-02 19:08:02|
1925|6000049|160|98020019|17|C1||1931R825050575|30.00|600.00000|2026-01-22 14:05:05|
3178|6000148|160|98020019|6|C1||1931R825050575|25.92|1296.00000|2026-01-08 17:08:02|
3178|6000239|160|98020019|119|C1||1931R825050550|36.00|100.00000|2026-01-17 12:44:03|
1925|6100103|160|98020019|39|C1||1931R825050575|21.76|272.00000|2026-01-22 18:55:02|
1925|6100040|160|98020019|235|C1||1931R825050612|166.40|640.00000|2026-01-24 12:58:04|
1925|6100028|160|98020019|146|C1||1931R826001628|254.32|136.00000|2026-01-22 17:03:05|
1925|6100103|160|98020019|103|C1||1931R825050608|97.92|272.00000|2026-01-22 18:55:02|
1614|6000074|160|98020019|16|C1||1931R825050424|9.68|88.00000|2026-01-08 10:05:04|
3471|6400061|160|98020019|217|C1||1931R825034859|84.15|85.00000|2026-01-09 16:01:03|
3178|6000561|160|98020019|116|C1||1931R825050575|38.88|144.00000|2026-01-22 17:22:04|
3471|6400014|160|98020019|184|C1||1931R825050575|167.04|576.00000|2026-01-09 18:05:09|
1925|6100040|160|98020019|51|C1||1931R825050547|9.60|320.00000|2026-01-24 12:58:04|
1614|6000082|160|98020019|206|C1||1931R825050547|6.00|120.00000|2026-01-20 11:18:02|
1614|6000072|160|98020019|35|C1||1931R825051346|2.64|88.00000|2026-01-07 20:04:00|
3178|6000154|160|98020019|89|C1||1931R825050385|63.36|576.00000|2026-01-09 12:32:04|
3471|6400217|160|98020019|135|C1||1931R825050575|7.20|360.00000|2026-01-19 18:01:03|
1614|6000086|160|98020019|106|C1||1931R825050612|124.80|480.00000|2026-01-20 11:18:04|
1925|6100105|160|98020019|95|C1||1931R825050575|144.00|4800.00000|2026-01-22 18:57:02|
3471|6400077|160|98020019|115|C1||1931R825050636|71.04|192.00000|2026-01-08 16:17:04|
3471|6400025|160|98020019|173|C1||1931R825050575|10.88|272.00000|2026-01-02 17:50:08|
3471|6400185|160|98020019|161|C1||1931R825050423|180.00|500.00000|2026-01-20 18:24:04|
1925|6000111|160|98020019|217|C1||1931R826001358|37.20|120.00000|2026-01-29 11:24:04|
3471|6400148|160|98020019|141|C1||1931R825050493|489.00|100.00000|2026-01-02 17:08:05|
3178|6000148|160|98020019|10|C1||1931R825050575|51.84|576.00000|2026-01-08 17:08:02|
1614|6000518|160|98020019|208|C1||1931R825051346|2.40|120.00000|2026-01-28 13:35:05|
3471|6400240|160|98020019|163|C1||1931R825051346|1.20|120.00000|2026-01-26 09:17:02|
1925|6100103|160|98020019|34|C1||1931R825050575|36.72|136.00000|2026-01-22 18:55:02|
1614|6000516|160|98020019|68|C1||1931R825050575|18.40|920.00000|2026-01-28 13:35:03|
1614|6000512|160|98020019|51|C1||1931R825056909|9432.00|120.00000|2026-01-23 19:24:02|
1925|6100040|160|98020019|129|C1||1931R825050547|736.00|3200.00000|2026-01-24 12:58:04|
3178|6000954|160|98020019|185|C1||1931R825050575|115.20|1280.00000|2026-01-24 13:42:01|
1614|6000518|160|98020019|215|C1||1931R825051346|50.40|120.00000|2026-01-28 13:35:05|
1925|6000049|160|98020019|29|C1||1931R825050575|24.00|240.00000|2026-01-22 14:05:05|
1925|6100022|160|98020019|152|C1||1931R826000899|129.20|68.00000|2026-01-22 16:58:03|
1614|6000094|160|98020019|112|C1||1931R825050647|4097.76|48.00000|2026-01-19 17:38:08|
3471|6400025|160|98020019|193|C1||1931R825051346|48.96|136.00000|2026-01-02 17:50:08|
3471|6400249|160|98020019|11|C1||1931R826001314|4.80|80.00000|2026-01-28 14:24:02|
1614|6000082|160|98020019|245|C1||1931R825038867|2760.00|120.00000|2026-01-20 11:18:02|
1925|6700024|160|98020019|139|C1||1931R825056047|36.48|96.00000|2026-01-13 10:50:03|
3471|6400236|160|98020019|130|C1||1931R825050575|115.20|1440.00000|2026-01-22 15:02:01|
3471|6400087|160|98020019|113|C1||1931R825050575|325.44|10848.00000|2026-01-08 15:45:02|
3471|6400240|160|98020019|111|C1||1931R825050575|91.20|4560.00000|2026-01-26 09:17:02|
1925|6100026|160|98020019|148|C1||1931R826001628|40.80|136.00000|2026-01-22 11:33:02|
3471|6400102|160|98020019|161|C1||1931R825051346|1.00|100.00000|2026-01-14 11:08:04|
3471|6400251|160|98020019|85|C1||1931R825050575|4.80|240.00000|2026-01-28 14:24:03|
3471|6400178|160|98020019|166|C1||1931R825051346|36.72|1224.00000|2026-01-16 10:11:03|
1925|6100040|160|98020019|8|C1||1931R825050575|177.60|5920.00000|2026-01-24 12:58:04|
3471|6400019|160|98020019|203|C1||1931R825051346|46.24|136.00000|2026-01-02 19:08:02|
3471|6400240|160|98020019|15|C1||1931R826001314|81.60|8160.00000|2026-01-26 09:17:02|
1925|6100028|160|98020019|5|C1||1931R825050575|157.76|544.00000|2026-01-22 17:03:05|
1614|6000508|160|98020019|79|C1||1931R825050612|140.40|4680.00000|2026-01-28 13:34:05|
1925|6700024|160|98020019|54|C1||1931R825034689|5907.72|52.00000|2026-01-13 10:50:03|
3471|6400065|160|98020019|194|C1||1931R825053462|1.70|85.00000|2026-01-08 17:13:05|
3471|6400185|160|98020019|125|C1||1931R825050608|430.50|1050.00000|2026-01-20 18:24:04|
3471|6400253|160|98020019|105|C1||1931R825038867|60.56|8.00000|2026-01-22 17:27:05|
3178|6000148|160|98020019|147|C1||1931R825034636|25256.00|112.00000|2026-01-08 17:08:02|
