Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
1614|6000508|160|87088007|19|00|BRAZO DE LA SUSPENSION|225.96667|13558|13558|770.40|60.000|6|60.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400249|160|98020019|211|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.52812|1690|1690|96.00|3200.000|6|64.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
1925|6700024|160|98020019|79|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|1.63542|157|157|8.64|96.000|6|21.22000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3178|6000154|160|98020019|14|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.53819|155|155|8.64|288.000|6|6.99060|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3178|6000154|160|85371099|169|01|CARGADOR|63.09375|18171|18171|1013.76|288.000|6|9.79230|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3178|6000518|160|98020019|231|00|DIFERENCIAL|1743.14286|48808|48808|2729.72|28.000|6|28.50000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 22:28:02|
1614|6000518|160|87082999|115|99|SOPORTE DE CAJA DE ENGRANAJE DELANTERO|42.05833|5047|5047|286.80|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400255|160|87089999|65|99|TUBERIA PREFORMADA|47.87500|1915|1915|108.80|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:04|
3471|6400061|160|98020019|204|00|PASADOR|3.93529|669|669|37.40|170.000|6|3.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1925|6000115|160|87082999|60|99|PARTE DE CARROCERÍA|9.85833|1183|1183|67.20|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:23:04|
1614|6000510|160|87089203|18|99|SILENCIADOR|1702.33333|20428|20428|1160.76|12.000|6|12.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:06|
3178|6000154|160|98020019|108|00|ETIQUETA AUTOADHESIVA|1.25694|181|181|10.08|144.000|6|4.65800|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3178|6000154|160|98020019|43|00|TUERCA|0.89660|1162|1162|64.80|1296.000|6|44.06550|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
3471|6400251|160|40169901|17|00|MANGUITO DE CAUCHO|0.35208|169|169|9.60|480.000|6|9.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:03|
1925|6000115|160|87082999|61|99|PARTE DE CARROCERÍA|9.85833|1183|1183|67.20|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-29 11:23:04|
3471|6400014|160|98020019|236|00|ARANDELA DE ACERO|0.18056|26|26|1.44|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
1614|6000518|160|98020019|92|00|ARNES PARA USO AUTOMOTRIZ|3968.91667|190508|190508|10824.96|48.000|6|182.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400249|160|87082999|83|99|PARTE DE LA CARROCERIA|388.06000|19403|19403|1102.50|50.000|6|50.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
1925|6700024|160|85444299|27|04|CABLE DE ARRANQUE NEGATIVO|25.12500|2412|2412|132.48|96.000|6|8.97000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3471|6400072|160|87089999|39|99|CONJUNTO AUXILIAR DE INSTALACIÓN EPS|16.17500|1294|1294|72.00|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
3471|6400069|160|87082999|8|99|BASES PARA BATERIAS|12.15294|1033|1033|57.80|85.000|6|85.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 11:58:02|
1925|6700024|160|87082999|185|99|PLACA DE MONTAJE DEL SILENCIADOR|25.67188|1643|1643|90.24|64.000|6|64.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
