Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3471|6400215|160|ED|0436260ND50O6|1||2026-01-20 12:39:02|
1647|6004627|240|ED|0428260GX1KQ4|1||2026-01-30 19:58:02|
3178|6000520|160|ED|0438261CAWDO4|1||2026-01-13 22:28:01|
1925|6000120|160|CR|40|1||2026-01-29 11:23:04|
3471|6400249|160|ED|0436260NEVGZ2|1||2026-01-28 14:24:02|
3471|6400249|160|ED|0436260NEVR03|1||2026-01-28 14:24:02|
1647|6004627|240|ED|0428260GXCPY1|1||2026-01-30 19:58:02|
3471|6400025|160|PP|20239540|1||2026-01-02 17:50:08|
3577|6300132|521|AT||1||2026-01-28 14:57:02|
3178|6000237|160|ED|0436260ND44R1|1||2026-01-16 20:15:01|
1925|6000119|160|ED|0436260NC41Y8|1||2026-01-29 11:46:00|
1647|6004560|240|ED|0428260GVKSW3|1||2026-01-23 16:17:10|
3043|6600188|520|ED|01702618LBCU1|1||2026-01-31 13:50:02|
3043|6600188|520|ED|01702618K9QS6|1||2026-01-31 13:50:02|
3471|6400146|160|ED|0436260N8JZ86|1||2026-01-03 00:54:01|
3471|6400198|160|ED|01922616UDP96|1||2026-01-28 23:25:03|
1925|6100022|160|ED|0438261CH3BM2|1||2026-01-22 16:58:03|
1647|6004627|240|ED|0428260GXCML5|1||2026-01-30 19:58:02|
3471|6400364|160|ED|01702618LLO01|1||2026-01-28 13:12:02|
1647|6004627|240|ED|0428260GW4SL5|1||2026-01-30 19:58:02|
3471|6400249|160|ED|01702618MGVT2|1||2026-01-28 14:24:02|
3471|6400249|160|ED|0436260NEVLP7|1||2026-01-28 14:24:02|
1925|6000115|160|IM|482023|1||2026-01-29 11:23:04|
3471|6400236|160|ED|0436260NEOCI2|1||2026-01-22 15:02:01|
3471|6400381|160|ED|0438261CLGSM6|1||2026-01-30 09:49:05|
3471|6400020|160|ED|017026185QB14|1||2026-01-02 19:42:02|
3471|6400380|160|ED|0438261CKU1T4|1||2026-01-30 09:49:04|
3471|6400129|160|ED|01702517ZS173|1||2026-01-02 16:00:06|
3471|6400250|160|ED|0438261CHVKB1|1||2026-01-28 14:24:03|
1925|6000115|160|ED|01922616XCUL3|1||2026-01-29 11:23:04|
3577|6300039|521|ED|0436260NBI516|1||2026-01-15 13:54:01|
1647|6004627|240|ED|0428260GW90Y2|1||2026-01-30 19:58:02|
3471|6400100|160|ED|0436260N9QUH2|1||2026-01-15 09:26:01|
3471|6400381|160|PD|5|1||2026-01-30 09:49:05|
3178|6000148|160|ED|0436260NA3M54|1||2026-01-08 17:08:02|
1925|6000115|160|ED|04412502MON66|1||2026-01-29 11:23:04|
3471|6400099|160|ED|017026185TX03|1||2026-01-15 09:13:01|
3178|6000871|160|ED|0436260NEV3E5|1||2026-01-22 14:02:03|
1647|6004627|240|ED|0428260GXDO98|1||2026-01-30 19:58:02|
3471|6400253|160|ED|0436260NENX21|1||2026-01-22 17:27:05|
1647|6004627|240|ED|0428260GVZF16|1||2026-01-30 19:58:02|
3471|6400215|160|ED|0436260ND5165|1||2026-01-20 12:39:02|
1925|6000119|160|ED|0436250MVK814|1||2026-01-29 11:46:00|
3577|6300039|521|ED|0436260NBI4S4|1||2026-01-15 13:54:01|
1925|6000109|160|ED|01922616X9UP6|1||2026-01-29 11:24:04|
1925|6000109|160|ED|01922616XB598|1||2026-01-29 11:24:04|
3577|6300039|521|ED|0436260NBI567|1||2026-01-15 13:54:01|
3471|6400232|160|CR|39|1||2026-01-28 15:10:03|
3178|6000561|160|ED|0436260NF11B4|1||2026-01-22 17:22:04|
1925|6000117|160|ED|01702618Q1ZK8|1||2026-01-29 11:23:03|
3471|6400364|160|CR|40|1||2026-01-28 13:12:02|
1647|6004627|240|ED|0428260GW0971|1||2026-01-30 19:58:02|
3471|6400253|160|ED|0436260NENWO6|1||2026-01-22 17:27:05|
3178|6000535|160|ED|0436260ND9FV8|1||2026-01-19 13:00:04|
1925|6000111|160|ED|0436260NC4568|1||2026-01-29 11:24:04|
3577|6300060|521|ED|017026189XA47|1||2026-01-23 16:53:01|
1925|6000117|160|CR|40|1||2026-01-29 11:23:03|
3471|6400069|160|PP|20239540|1||2026-01-09 11:58:02|
1925|6000117|160|IM|482023|1||2026-01-29 11:23:03|
3471|6400013|160|ED|017025184G2F7|1||2026-01-08 16:38:09|
1647|6004513|240|ED|0428260GTHES3|1||2026-01-16 17:32:07|
1925|6000109|160|ED|0436260NC41J1|1||2026-01-29 11:24:04|
