Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3178|6000847|160|87089412|25|EN|X|NOM-050-SCFI-2004|2026-01-24 12:17:03|
1925|6100040|160|85044099|249|EN|X|NOM-024-SCFI-2013|2026-01-24 12:58:04|
3577|6300120|521|87082999|55|PS|XIX||2026-01-26 14:38:00|
3471|6400247|160|98020019|26|EC|1||2026-01-26 11:44:04|
3178|6000846|160|73269099|6|XP|T1|U|2026-01-24 12:17:03|
1925|6100036|160|87082999|82|PS|XIX||2026-01-24 12:28:02|
3471|6400248|160|39232991|2|XP|A1|U|2026-01-26 09:32:03|
3577|6300039|521|98020019|22|EC|1||2026-01-15 13:54:01|
1614|6000094|160|87082999|22|PS|XIX||2026-01-19 17:38:08|
3471|6400100|160|87087006|95|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
1925|6100040|160|98020019|156|EC|1||2026-01-24 12:58:04|
3471|6400240|160|98020019|161|EC|1||2026-01-26 09:17:02|
3471|6400179|160|73181599|4|EC|1||2026-01-16 10:11:04|
3471|6400216|160|73269099|2|XP|T9|U|2026-01-20 12:39:01|
3178|6000230|160|98020019|39|EC|1||2026-01-16 08:31:01|
3178|6000954|160|98020019|174|EC|1||2026-01-24 13:42:01|
3178|6000972|160|87082999|62|PS|XIX||2026-01-24 12:02:13|
3178|6000847|160|98020019|111|EC|1||2026-01-24 12:17:03|
3178|6000954|160|87088007|18|EN|X|NOM-050-SCFI-2004|2026-01-24 13:42:01|
1925|6100034|160|87082999|37|PS|XIX||2026-01-24 12:24:04|
1925|6100032|160|87082999|6|PS|XIX||2026-01-24 12:13:01|
3471|6400240|160|87089412|86|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3577|6300120|521|87082999|3|PS|XIX||2026-01-26 14:38:00|
3178|6000236|160|87089999|66|EN|X|NOM-050-SCFI-2004|2026-01-16 19:17:03|
1614|6000094|160|87082999|78|PS|XIX||2026-01-19 17:38:08|
3471|6400094|160|85122002|22|EN|X|NOM-024-SCFI-2013|2026-01-15 08:44:02|
1925|6100034|160|98020019|93|EC|1||2026-01-24 12:24:04|
1925|6100034|160|87089412|65|EN|X|NOM-050-SCFI-2004|2026-01-24 12:24:04|
3178|6000234|160|87082201|34|PS|XIX||2026-01-15 22:14:01|
1614|6000080|160|87082999|2|PS|XIX||2026-01-20 11:17:06|
3471|6400096|160|87082999|10|PS|XIX||2026-01-15 09:00:04|
3471|6400241|160|73269099|4|XP|T1|U|2026-01-26 09:17:02|
3471|6400241|160|73269099|5|XP|T1|U|2026-01-26 09:17:02|
3471|6400240|160|98020019|10|EC|1||2026-01-26 09:17:02|
3178|6000953|160|73269099|9|XP|T1|U|2026-01-24 13:42:01|
3471|6400240|160|87088007|78|PS|XIX||2026-01-26 09:17:02|
3471|6400240|160|85044099|35|EN|ENOM|NOM-058-SCFI-2017|2026-01-26 09:17:02|
1925|6100040|160|98020019|235|EC|1||2026-01-24 12:58:04|
3178|6000954|160|98020019|168|EC|1||2026-01-24 13:42:01|
3471|6400094|160|87082201|39|PS|XIX||2026-01-15 08:44:02|
1614|6000082|160|87082999|105|PS|XIX||2026-01-20 11:18:02|
3471|6400176|160|87089999|90|EN|X|NOM-050-SCFI-2004|2026-01-16 10:44:01|
1925|6100040|160|87082999|134|PS|XIX||2026-01-24 12:58:04|
1925|6100034|160|39269099|117|EN|X|NOM-050-SCFI-2004|2026-01-24 12:24:04|
3471|6400102|160|39263002|6|EN|U|NOM-050-SCFI-2004|2026-01-14 11:08:04|
3471|6400185|160|98020019|163|EC|1||2026-01-20 18:24:04|
3178|6000539|160|87082101|64|EN|X|NOM-119-SCFI-2000|2026-01-16 17:25:05|
3471|6400247|160|98020019|36|EC|1||2026-01-26 11:44:04|
3471|6400247|160|98020019|53|EC|1||2026-01-26 11:44:04|
3178|6000953|160|73269099|8|XP|T1|U|2026-01-24 13:42:01|
3178|6000847|160|87082999|163|PS|XIX||2026-01-24 12:17:03|
3178|6000847|160|87082999|15|PS|XIX||2026-01-24 12:17:03|
1925|6100034|160|87089412|78|EN|X|NOM-050-SCFI-2004|2026-01-24 12:24:04|
